1262403261	20250910	202509	2025	2025.6849											ARE	ABU DHABI	ARE								1	036	036	03	1	4.0	1	1	1	5.90631364562118	0								4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20250910180000	https://www.orissapost.com/dharmendra-pradhan-meets-uae-education-leaders-calls-for-two-way-student-exchanges/
1262403262	20250910	202509	2025	2025.6849											ARE	ABU DHABI	ARE								1	042	042	04	1	1.9	1	1	1	5.90631364562118	0								4	Atal, Dadra and Nagar Haveli, India	IN	IN06	70119	20.2667	72.9667	-2088568	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	20250910180000	https://www.orissapost.com/dharmendra-pradhan-meets-uae-education-leaders-calls-for-two-way-student-exchanges/
1262403263	20250910	202509	2025	2025.6849											BLR	BELARUS	BLR								0	030	030	03	1	4.0	1	1	1	0.50822122571002	0								4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20250910180000	https://eng.belta.by/president/view/time-to-gather-stones-to-build-our-temple-from-what-did-lukashenko-protect-belarus-in-early-2000s-171341-2025/
1262403264	20250910	202509	2025	2025.6849											BLR	BELARUS	BLR								0	030	030	03	1	4.0	1	1	1	0.50822122571002	0								4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20250910180000	https://eng.belta.by/president/view/time-to-gather-stones-to-build-our-temple-from-what-did-lukashenko-protect-belarus-in-early-2000s-171341-2025/
1262403265	20250910	202509	2025	2025.6849											BLR	BELARUS	BLR								0	040	040	04	1	1.0	2	1	2	0.50822122571002	0								4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20250910180000	https://eng.belta.by/president/view/time-to-gather-stones-to-build-our-temple-from-what-did-lukashenko-protect-belarus-in-early-2000s-171341-2025/
1262403266	20250910	202509	2025	2025.6849											BLR	BELARUS	BLR								0	040	040	04	1	1.0	4	1	4	0.50822122571002	0								4	Nesvizh, Minsk, Horad, Belarus	BO	BO05	39964	53.2189	26.6779	-1946768	4	Nesvizh, Minsk, Horad, Belarus	BO	BO05	39964	53.2189	26.6779	-1946768	20250910180000	https://eng.belta.by/president/view/time-to-gather-stones-to-build-our-temple-from-what-did-lukashenko-protect-belarus-in-early-2000s-171341-2025/
1262403267	20250910	202509	2025	2025.6849											BRAELI	BRAZILIAN	BRA					ELI			0	112	112	11	3	-2.0	6	1	6	-8.49858356940506	0								1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	20250910180000	https://www.riotimesonline.com/supreme-courts-own-authority-on-trial-as-justice-fux-challenges-bolsonaro-verdict/
1262403268	20250910	202509	2025	2025.6849											BUS	AEROSPACE						BUS			1	031	031	03	1	5.2	10	1	10	3.73831775700935	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250910180000	https://militaryembedded.com/unmanned/payloads/nasams-contract-awarded-to-galleon-embedded-computing-by-kongsberg-defence-aerospace
1262403269	20250910	202509	2025	2025.6849											BUS	BUSINESS						BUS			0	040	040	04	1	1.0	2	1	2	0	0								4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Congo	CF	CF		-1	15	CF	20250910180000	https://www.theguardian.com/politics/2025/sep/10/my-best-pal-messages-between-mandelson-and-epstein-suggest-a-close-bond
1262403270	20250910	202509	2025	2025.6849											BUS	INVESTOR						BUS			1	040	040	04	1	1.0	4	1	4	1.0600706713781	0								5	Madhya Pradesh, Madhya Pradesh, India	IN	IN35	17744	23.5	78.5	-2103026	4	Bhopal, Madhya Pradesh, India	IN	IN35	17746	23.2667	77.4	-2091670	20250910180000	https://www.freepressjournal.in/bhopal/41770-crore-investment-in-madhya-pradesh-53000-jobs-in-pipeline
1262403271	20250910	202509	2025	2025.6849											BUS	BUSINESS						BUS			0	040	040	04	1	1.0	4	1	4	0	0								1	Congo	CF	CF		-1	15	CF	1	Congo	CF	CF		-1	15	CF	20250910180000	https://www.theguardian.com/politics/2025/sep/10/my-best-pal-messages-between-mandelson-and-epstein-suggest-a-close-bond
1262403272	20250910	202509	2025	2025.6849											BUS	MANUFACTURER						BUS			1	040	040	04	1	1.0	2	1	2	0.76923076923077	0								1	Hong Kong	HK	HK		22.25	114.166667	HK	1	Hong Kong	HK	HK		22.25	114.166667	HK	20250910180000	https://www.theweek.in/leisure/lifestyle/2025/09/10/green-is-the-new-gold-in-fashion-it-means-serious-business.html
