1264926906	20250923	202509	2025	2025.7205	EUR	EUROPE	EUR								BGR	BULGARIA	BGR								1	190	190	19	4	-10.0	2	1	2	-5.67164179104478	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	1	Romania	RO	RO		46	25	RO	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20250924120000	https://www.infosecurity-magazine.com/news/european-police-bust-100m/
1264926907	20250923	202509	2025	2025.7205	EUR	EUROPE	EUR								COP	POLICE						COP			1	030	030	03	1	4.0	10	1	10	-5.67164179104478	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	4	Canary Islands, Spain (general), Spain	SP	SP00	25789	28	-15.5	-375618	4	Canary Islands, Spain (general), Spain	SP	SP00	25789	28	-15.5	-375618	20250924120000	https://www.infosecurity-magazine.com/news/european-police-bust-100m/
1264926908	20250923	202509	2025	2025.7205	EUR	EUROPE	EUR								ESP	SPAIN	ESP								1	190	190	19	4	-10.0	10	1	10	-5.67164179104478	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20250924120000	https://www.infosecurity-magazine.com/news/european-police-bust-100m/
1264926909	20250923	202509	2025	2025.7205	EUR	EUROPE	EUR								ITA	ITALY	ITA								1	190	190	19	4	-10.0	8	1	8	-5.67164179104478	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	1	Italy	IT	IT		42.833333	12.833333	IT	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20250924120000	https://www.infosecurity-magazine.com/news/european-police-bust-100m/
1264926910	20250923	202509	2025	2025.7205	EUR	EUROPE	EUR								ITA	ITALY	ITA								1	190	190	19	4	-10.0	2	1	2	-5.67164179104478	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	1	Portugal	PO	PO		39.5	-8	PO	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20250924120000	https://www.infosecurity-magazine.com/news/european-police-bust-100m/
1264926911	20250923	202509	2025	2025.7205	EUR	EUROPE	EUR								PRT	PORTUGAL	PRT								1	190	190	19	4	-10.0	2	1	2	-5.67164179104478	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20250924120000	https://www.infosecurity-magazine.com/news/european-police-bust-100m/
1264926912	20250923	202509	2025	2025.7205	EUR	EUROPE	EUR								PRT	PORTUGAL	PRT								1	190	190	19	4	-10.0	8	1	8	-5.67164179104478	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	1	Portugal	PO	PO		39.5	-8	PO	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20250924120000	https://www.infosecurity-magazine.com/news/european-police-bust-100m/
1264926913	20250923	202509	2025	2025.7205	EUR	EUROPE	EUR								ROU	ROMANIA									1	190	190	19	4	-10.0	2	1	2	-5.67164179104478	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	1	Italy	IT	IT		42.833333	12.833333	IT	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20250924120000	https://www.infosecurity-magazine.com/news/european-police-bust-100m/
1264926914	20250923	202509	2025	2025.7205	EUR	EUROPE	EUR								ROU	ROMANIA									1	190	190	19	4	-10.0	8	1	8	-5.67164179104478	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	1	Romania	RO	RO		46	25	RO	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20250924120000	https://www.infosecurity-magazine.com/news/european-police-bust-100m/
1264926915	20250923	202509	2025	2025.7205	ZWEGOVMIL	EMMERSON MNANGAGWA	ZWE					GOV	MIL												1	056	056	05	1	7.0	5	1	5	-3.84615384615385	0								0								0								20250924120000	https://dailynews.co.zw/ed-grants-illegal-gun-amnesty/
1264926916	20250924	202509	2025	2025.7233											AGR	FARMER						AGR			1	051	051	05	1	3.4	10	1	10	3.88571428571429	0								1	Sri Lanka	CE	CE		7	81	CE	1	Sri Lanka	CE	CE		7	81	CE	20250924120000	https://www.jagranjosh.com/general-knowledge/spice-producing-countries-in-the-world-1820002857-1
1264926917	20250924	202509	2025	2025.7233											AUS	VICTORIA	AUS								1	040	040	04	1	1.0	2	1	2	1.60295930949445	0								3	Oak Park, California, United States	US	USCA		38.5513	-121.471	1659271	3	Oak Park, California, United States	US	USCA		38.5513	-121.471	1659271	20250924120000	https://sacobserver.com/2025/09/black-storytelling-sacramento-festival/
1264926918	20250924	202509	2025	2025.7233											AUS	AUSTRALIA	AUS								0	043	043	04	1	2.8	6	1	6	-0.17543859649123	0								4	Menangle, New South Wales, Australia	AS	AS02	5112	-34.1268	150.739	-1586921	4	Menangle, New South Wales, Australia	AS	AS02	5112	-34.1268	150.739	-1586921	20250924120000	https://harnesslink.com/australia/tough-task-for-resuming-inter-dominion-champ/
1264926919	20250924	202509	2025	2025.7233											AUT	AUSTRIA	AUT								0	040	040	04	1	1.0	40	1	20	-1.50917855733655	0								1	Austria	AU	AU		47.333333	13.333333	AU	1	Austria	AU	AU		47.333333	13.333333	AU	20250924120000	https://www.boredpanda.com/parents-siblings-austria-babysitting/
1264926920	20250924	202509	2025	2025.7233											BUS	BUSINESS						BUS			1	036	036	03	1	4.0	10	1	10	4.42711335661727	0								4	Gothenburg, Vastra Gotalands Lan, Sweden	SW	SW28	26247	57.7167	11.9667	-2482986	4	Gothenburg, Vastra Gotalands Lan, Sweden	SW	SW28	26247	57.7167	11.9667	-2482986	20250924120000	http://www.prnewswire.com/news-releases/skf-redesigns-industrial-organization-to-increase-competitiveness-302565769.html
1264926921	20250924	202509	2025	2025.7233											BUS	COMPANIES						BUS			0	036	036	03	1	4.0	10	1	10	1.36186770428016	0								3	Hampton, Virginia, United States	US	USVA	VA650	37.0299	-76.3452	1495650	3	Hampton, Virginia, United States	US	USVA	VA650	37.0299	-76.3452	1495650	20250924120000	https://www.prnewswire.com/news-releases/registrar-corp-and-denver-health-announce-adverse-event-protection-program-to-safeguard-consumers-and-cosmetics-brands-302564957.html
1264926922	20250924	202509	2025	2025.7233											BUS	COMPANY						BUS			1	043	043	04	1	2.8	10	1	10	2.0631067961165	0								4	Lake Cargelligo, New South Wales, Australia	AS	AS02	5096	-33.2987	146.374	-1582776	4	Lake Cargelligo, New South Wales, Australia	AS	AS02	5096	-33.2987	146.374	-1582776	20250924120000	https://www.manilatimes.net/2025/09/24/tmt-newswire/globenewswire/lancaster-resources-rock-assay-results-from-lake-cargelligo-gold-project/2189596
1264926923	20250924	202509	2025	2025.7233											BUS	COMPANY						BUS			1	046	046	04	1	7.0	10	1	10	-0.630914826498421	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20250924120000	http://www.prnewswire.com/news-releases/pathios-therapeutics-appoints-jon-wigginton-md-as-non-executive-director-302564962.html
1264926924	20250924	202509	2025	2025.7233											BUS	COMPANY						BUS			1	057	057	05	1	8.0	10	1	10	0.492610837438423	0								4	Hunedoara, Hunedoara, Romania	RO	RO21	25009	45.75	22.9	-1161556	4	Hunedoara, Hunedoara, Romania	RO	RO21	25009	45.75	22.9	-1161556	20250924120000	https://www.retaildetail.eu/news/general/action-opened-first-store-in-romania/
1264926925	20250924	202509	2025	2025.7233											BUS	COMPANY						BUS			1	061	061	06	2	6.4	5	1	5	4.23197492163009	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250924120000	https://www.themarketsdaily.com/2025/09/24/bark-nysebark-vs-emerald-nyseeex-critical-survey.html
1264926926	20250924	202509	2025	2025.7233											CAN	MANITOBA	CAN								1	043	043	04	1	2.8	5	1	5	1.17096018735363	0								0								0								20250924120000	https://www.chvnradio.com/articles/serving-at-siloam-for-over-a-decade-head-chef-shares-gods-goodness-in-feeding-the-hungry
