1263865644	20250911	202509	2025	2025.6877	GRC	GREECE	GRC								USA	THE US	USA								1	043	043	04	1	2.8	4	1	4	2.2964509394572	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	20250918141500	https://www.keeptalkinggreece.com/2025/09/18/lng-energy-greece-usa/
1263865645	20250911	202509	2025	2025.6877	GRCGOV	GREEK	GRC					GOV			GOV	SECRETARY OF THE INTERIOR						GOV			1	040	040	04	1	1.0	3	1	3	2.2964509394572	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	20250918141500	https://www.keeptalkinggreece.com/2025/09/18/lng-energy-greece-usa/
1263865646	20250911	202509	2025	2025.6877	SAU	SAUDI ARABIA	SAU								ISR	ISRAEL	ISR								0	051	051	05	1	3.4	4	1	4	-5.51816958277259	1	Saudi Arabia	SA	SA		25	45	SA	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20250918141500	https://www.arabnews.com/node/2615799
1263865647	20250911	202509	2025	2025.6877	SAU	SAUDI	SAU								PSE	PALESTINIAN	PSE								0	051	051	05	1	3.4	1	1	1	-5.51816958277259	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20250918141500	https://www.arabnews.com/node/2615799
1263865648	20250911	202509	2025	2025.6877	SAU	SAUDI ARABIA	SAU								PSE	PALESTINIAN	PSE								0	051	051	05	1	3.4	3	1	3	-5.51816958277259	1	Saudi Arabia	SA	SA		25	45	SA	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20250918141500	https://www.arabnews.com/node/2615799
1263865649	20250911	202509	2025	2025.6877	USA	UNITED STATES	USA								GOV	SECRETARY OF THE INTERIOR						GOV			1	040	040	04	1	1.0	4	1	4	2.2964509394572	3	Department Of Energy, District of Columbia, United States	US	USDC	DC001	38.8862	-77.025	530856	3	Department Of Energy, District of Columbia, United States	US	USDC		38.8862	-77.025	530856	3	Department Of Energy, District of Columbia, United States	US	USDC		38.8862	-77.025	530856	20250918141500	https://www.keeptalkinggreece.com/2025/09/18/lng-energy-greece-usa/
1263865650	20250911	202509	2025	2025.6877	USA	THE US	USA								GRC	GREECE	GRC								1	042	042	04	1	1.9	4	1	4	2.2964509394572	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	20250918141500	https://www.keeptalkinggreece.com/2025/09/18/lng-energy-greece-usa/
1263865651	20250911	202509	2025	2025.6877	USA	UNITED STATES	USA								USAOPP	UNITED STATES	USA					OPP			1	020	020	02	1	3.0	1	1	1	-1.28205128205129	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250918141500	https://www.mediaite.com/media/news/media-giant-praises-trumps-fcc-chair-over-kimmel-threats-says-suspension-doesnt-go-far-enough/
1263865652	20250917	202509	2025	2025.7041											EGYMED	EGYPTIAN	EGY					MED			1	042	042	04	1	1.9	6	1	6	-0.86455331412104	0								4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20250918141500	https://www.egyptindependent.com/pm-presidents-strong-messages-at-doha-summit-express-states-firm-position-on-political-conditions-in-region/
1263865653	20250917	202509	2025	2025.7041	EDU	STUDENT						EDU													1	130	130	13	3	-4.4	1	1	1	0.31948881789138	4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	0								4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	20250918141500	https://www.thenassauguardian.com/news/students-learn-about-forensic-science-during-rbpf-exhibition/article_efb9c0e6-b533-4b12-b8e3-b67e1f056f3b.html
1263865654	20250917	202509	2025	2025.7041	EDU	STUDENT						EDU			BHS	BAHAMA	BHS								1	130	130	13	3	-4.4	1	1	1	0.31948881789138	4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	20250918141500	https://www.thenassauguardian.com/news/students-learn-about-forensic-science-during-rbpf-exhibition/article_efb9c0e6-b533-4b12-b8e3-b67e1f056f3b.html
1263865655	20250917	202509	2025	2025.7041	EGY	EGYPTIAN	EGY								EGYMED	EGYPT	EGY					MED			1	043	043	04	1	2.8	2	1	2	-0.86455331412104	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20250918141500	https://www.egyptindependent.com/pm-presidents-strong-messages-at-doha-summit-express-states-firm-position-on-political-conditions-in-region/
1263865656	20250917	202509	2025	2025.7041	EGY	EGYPTIAN	EGY								MED	MEDIA						MED			1	040	040	04	1	1.0	2	1	2	-0.86455331412104	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20250918141500	https://www.egyptindependent.com/pm-presidents-strong-messages-at-doha-summit-express-states-firm-position-on-political-conditions-in-region/
1263865657	20250917	202509	2025	2025.7041	EGYMED	EGYPTIAN	EGY					MED													1	043	043	04	1	2.8	6	1	6	-0.86455331412104	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	0								4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20250918141500	https://www.egyptindependent.com/pm-presidents-strong-messages-at-doha-summit-express-states-firm-position-on-political-conditions-in-region/
1263865658	20250917	202509	2025	2025.7041	EGYMED	EGYPT	EGY					MED			EGY	EGYPTIAN	EGY								1	042	042	04	1	1.9	2	1	2	-0.86455331412104	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20250918141500	https://www.egyptindependent.com/pm-presidents-strong-messages-at-doha-summit-express-states-firm-position-on-political-conditions-in-region/
1263865659	20250917	202509	2025	2025.7041	MED	MEDIA						MED			EGY	EGYPTIAN	EGY								1	040	040	04	1	1.0	2	1	2	-0.86455331412104	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20250918141500	https://www.egyptindependent.com/pm-presidents-strong-messages-at-doha-summit-express-states-firm-position-on-political-conditions-in-region/
1263865660	20250918	202509	2025	2025.7068											AFRCOP	AFRICA	AFR					COP			1	040	040	04	1	1.0	4	1	4	-4.31654676258993	0								5	Gauteng, Gauteng, South Africa	SF	SF06	77346	-26.0833	28.25	204226	5	Gauteng, Gauteng, South Africa	SF	SF06	77346	-26.0833	28.25	204226	20250918141500	https://www.ewn.co.za/2025/09/18/gauteng-police-launch-manhunt-following-killing-of-taxi-association-chairperson
1263865661	20250918	202509	2025	2025.7068											AGR	FARMER						AGR			1	043	043	04	1	2.8	5	1	5	12.5	0								1	Morocco	MO	MO		32	-5	MO	1	Morocco	MO	MO		32	-5	MO	20250918141500	https://roarmag.org/Palm-Basket-With-Leather-Straps-THE-GERDU-b-1005184
1263865662	20250918	202509	2025	2025.7068											BUS	COMPANY						BUS			1	013	013	01	1	0.4	6	1	6	-0.76818798011749	0								3	Burlington, Vermont, United States	US	USVT	VT007	44.4759	-73.2121	1456663	3	Burlington, Vermont, United States	US	USVT	VT007	44.4759	-73.2121	1456663	20250918141500	https://www.kcra.com/article/ben-explains-why-jerry-quit-ben-jerrys/67935482
1263865663	20250918	202509	2025	2025.7068											BUS	BANK						BUS			1	043	043	04	1	2.8	6	1	6	5.22088353413655	0								1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20250918141500	https://www.dhakatribune.com/business/banks/391798/city-bank-guardian-launch-bangladesh%E2%80%99s-first
