1273699062	20251105	202511	2025	2025.8356	LEG	CONGRESS						LEG													0	111	111	11	3	-2.0	5	1	5	-5.23690773067332	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251112013000	https://www.algemeiner.com/2025/11/11/israeli-ambassador-sounds-alarm-rising-antisemitism-germany-left-party-youth-wing-targets-jews-traitors/
1273699063	20251105	202511	2025	2025.8356	MEXGOV	MEXICO CITY	MEX					GOV			IRN	IRAN	IRN								0	186	186	18	4	-10.0	6	1	6	-5.62248995983936	4	Mexico City, Distrito Federal, Mexico	MX	MX09	20887	19.4342	-99.1386	-1658079	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20251112013000	https://www.algemeiner.com/2025/11/11/irans-water-crisis-worsens-president-warns-tehran-may-need-be-evacuated/
1273699064	20251105	202511	2025	2025.8356	MEXGOV	MEXICO CITY	MEX					GOV			IRN	IRAN	IRN								0	186	186	18	4	-10.0	2	1	2	-5.62248995983936	4	Mexico City, Distrito Federal, Mexico	MX	MX09	20887	19.4342	-99.1386	-1658079	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	1	Israel	IS	IS		31.5	34.75	IS	20251112013000	https://www.algemeiner.com/2025/11/11/irans-water-crisis-worsens-president-warns-tehran-may-need-be-evacuated/
1273699065	20251105	202511	2025	2025.8356	MEXGOV	MEXICO CITY	MEX					GOV			IRN	IRAN	IRN								0	186	186	18	4	-10.0	2	1	2	-5.62248995983936	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20251112013000	https://www.algemeiner.com/2025/11/11/irans-water-crisis-worsens-president-warns-tehran-may-need-be-evacuated/
1273699066	20251105	202511	2025	2025.8356	USA	UNITED STATES	USA								USACVL	HERITAGE FOUNDATION	USA					CVL			0	111	111	11	3	-2.0	2	1	2	-8.4870848708487	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20251112013000	https://www.1090kaay.com/2025/11/11/wsj-editor-baker-battle-over-heritage-foundation-good-against-evil/
1273699067	20251112	202511	2025	2025.8548											AUS	AUSTRALIAN	AUS								1	036	036	03	1	4.0	19	2	13	-1.79435483870969	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20251112013000	https://fnarena.com/index.php/2025/11/12/woodside-targets-significant-dividend-increase/
1273699068	20251112	202511	2025	2025.8548											AUS	AUSTRALIAN	AUS								0	040	040	04	1	1.0	6	1	6	-5.77299412915851	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20251112013000	https://www.algemeiner.com/2025/11/11/dutch-jewish-writer-recounts-denied-care-pro-palestinian-nurse/
1273699069	20251112	202511	2025	2025.8548											AUS	AUSTRALIA	AUS								0	042	042	04	1	1.9	8	1	8	4.51127819548872	0								4	Byron Bay, New South Wales, Australia	AS	AS02	4968	-28.642	153.612	-1563414	4	Byron Bay, New South Wales, Australia	AS	AS02	4968	-28.642	153.612	-1563414	20251112013000	https://www.yahoo.com/entertainment/celebrity/articles/jessica-alba-boyfriend-danny-ramirez-233707959.html
1273699070	20251112	202511	2025	2025.8548											AUS	AUSTRALIA	AUS								0	042	042	04	1	1.9	2	1	2	4.51127819548872	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20251112013000	https://www.yahoo.com/entertainment/celebrity/articles/jessica-alba-boyfriend-danny-ramirez-233707959.html
1273699071	20251112	202511	2025	2025.8548											AUS	AUSTRALIA	AUS								1	043	043	04	1	2.8	3	1	3	-2.26969292389853	0								4	Dungog, New South Wales, Australia	AS	AS02	5096	-32.4003	151.758	-1570971	4	Dungog, New South Wales, Australia	AS	AS02	5096	-32.4003	151.758	-1570971	20251112013000	https://www.dungogchronicle.com.au/story/9105660/honouring-doug-coles-air-force-legacy-and-family-sacrifices/
1273699072	20251112	202511	2025	2025.8548											AUS	AUSTRALIA	AUS								1	043	043	04	1	2.8	1	1	1	-2.26969292389853	0								4	Raymond Terrace, New South Wales, Australia	AS	AS02	5096	-32.7595	151.751	-1596917	4	Dungog, New South Wales, Australia	AS	AS02	5096	-32.4003	151.758	-1570971	20251112013000	https://www.dungogchronicle.com.au/story/9105660/honouring-doug-coles-air-force-legacy-and-family-sacrifices/
1273699073	20251112	202511	2025	2025.8548											BEL	BELGIUM	BEL								0	040	040	04	1	1.0	4	1	4	-5.77299412915851	0								1	Belgium	BE	BE		50.833333	4	BE	1	Australia	AS	AS		-25	135	AS	20251112013000	https://www.algemeiner.com/2025/11/11/dutch-jewish-writer-recounts-denied-care-pro-palestinian-nurse/
1273699074	20251112	202511	2025	2025.8548											BRA	BRAZIL	BRA								1	192	192	19	4	-9.5	2	1	2	5.43778801843318	0								1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	20251112013000	https://collider.com/best-movie-every-genre-2000s/
1273699075	20251112	202511	2025	2025.8548											BUS	BUSINESS						BUS			0	014	014	01	1	0.0	3	1	3	-1.48837209302325	0								2	Nebraska, United States	US	USNE		41.1289	-98.2883	NE	2	Nebraska, United States	US	USNE		41.1289	-98.2883	NE	20251112013000	https://www.unionleader.com/news/business/us-health-care-premium-spikes-to-squeeze-main-street-businesses/article_d603f0a9-497a-40fe-9213-f5023478360b.html
1273699076	20251112	202511	2025	2025.8548											BUS	COMPANY						BUS			0	036	036	03	1	4.0	10	1	10	-0.80111459421805	0								4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20251112013000	https://www.cantechletter.com/newswires/mountain-province-diamonds-announces-third-quarter-financial-results-for-2025/
1273699077	20251112	202511	2025	2025.8548											BUS	COMPANY						BUS			1	036	036	03	1	4.0	10	1	10	-1.10019646365422	0								1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20251112013000	https://www.cantechletter.com/newswires/data-communications-management-corp-reports-q3-2025-financial-results/
