1272979172	20241107	202411	2024	2024.8411	MDV	MALE	MDV								GBR	EDINBURGH	GBR								1	112	112	11	3	-2.0	8	1	8	-6.40732265446224	4	Edinburgh Castle, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595387	4	Edinburgh Castle, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595387	4	Edinburgh Castle, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595387	20251107140000	https://www.greenocktelegraph.co.uk/news/25603699.heritage-boss-twerked-martin-compston-faces-harassment-claim/
1272979173	20241107	202411	2024	2024.8411	NGA	NIGERIA	NGA								CHR	CHRISTIAN				CHR					1	180	180	18	4	-9.0	5	1	5	-6.89655172413793	1	Nigeria	NI	NI		10	8	NI	1	Nigeria	NI	NI		10	8	NI	1	Nigeria	NI	NI		10	8	NI	20251107140000	https://www.bbc.com/news/live/c6296l81eget
1272979174	20241107	202411	2024	2024.8411	REB	REBEL FORCE						REB			GOV	PRESIDENT						GOV			1	036	036	03	1	4.0	16	2	16	-0.68119891008175	1	Israel	IS	IS		31.5	34.75	IS	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	20251107140000	https://www.ashleycountyledger.com/news/national/former-jihadist-syrian-leader-makes-unprecedented-white-house-visit/article_31dfba00-80e1-56ac-92b9-d02d373326bb.html
1272979175	20241107	202411	2024	2024.8411	REB	REBEL FORCE						REB			SYR	SYRIA	SYR								1	036	036	03	1	4.0	4	2	4	-0.68119891008175	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	20251107140000	https://www.ashleycountyledger.com/news/national/former-jihadist-syrian-leader-makes-unprecedented-white-house-visit/article_31dfba00-80e1-56ac-92b9-d02d373326bb.html
1272979176	20241107	202411	2024	2024.8411	REB	REBEL FORCE						REB			SYRGOV	SYRIA	SYR					GOV			1	036	036	03	1	4.0	2	2	2	-0.68119891008175	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20251107140000	https://www.ashleycountyledger.com/news/national/former-jihadist-syrian-leader-makes-unprecedented-white-house-visit/article_31dfba00-80e1-56ac-92b9-d02d373326bb.html
1272979177	20241107	202411	2024	2024.8411	SYR	SYRIA	SYR								REB	REBEL FORCE						REB			1	036	036	03	1	4.0	4	2	4	-0.68119891008175	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	20251107140000	https://www.ashleycountyledger.com/news/national/former-jihadist-syrian-leader-makes-unprecedented-white-house-visit/article_31dfba00-80e1-56ac-92b9-d02d373326bb.html
1272979178	20241107	202411	2024	2024.8411	SYRGOV	SYRIA	SYR					GOV			REB	REBEL FORCE						REB			1	036	036	03	1	4.0	2	2	2	-0.68119891008175	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	20251107140000	https://www.ashleycountyledger.com/news/national/former-jihadist-syrian-leader-makes-unprecedented-white-house-visit/article_31dfba00-80e1-56ac-92b9-d02d373326bb.html
1272979179	20241107	202411	2024	2024.8411	USA	UNITED STATES	USA																		0	015	015	01	1	0.0	4	1	4	-12.1478873239437	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	0								2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20251107140000	https://nypost.com/2025/11/07/us-news/nyc-man-charged-with-raping-15-year-old-he-met-online-da/
1272979180	20251008	202510	2025	2025.7616	AUS	AUSTRALIA	AUS								USA	THE US	USA								0	057	057	05	1	8.0	8	1	8	1.93003618817853	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20251107140000	https://www.fastmarkets.com/insights/critical-minerals-financing-andrea-hotter/
1272979181	20251008	202510	2025	2025.7616	CHN	CHINA	CHN																		1	160	160	16	4	-4.0	3	1	3	-0.28301886792453	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	0								1	South Korea	KS	KS		37	127.5	KS	20251107140000	https://wowo.com/trump-hosts-central-asian-leaders-as-us-seeks-to-get-around-china-on-rare-earth-metals/
