1273788869	20241112	202411	2024	2024.8548	BUS	BUSINESS						BUS			DEU	MUNICH	DEU								1	051	051	05	1	3.4	7	1	7	0.39292730844793	4	Munich, Bayern, Germany	GM	GM02	16532	48.15	11.5833	-1829149	4	Munich, Bayern, Germany	GM	GM02	16532	48.15	11.5833	-1829149	4	Munich, Bayern, Germany	GM	GM02	16532	48.15	11.5833	-1829149	20251112130000	https://finance.yahoo.com/news/munich-net-result-increases-1-121056031.html
1273789137	20251112	202511	2025	2025.8548	CHL	SANTIAGO	CHL								CHLJUD	CHILE	CHL					JUD			1	172	172	17	4	-5.0	2	1	2	-1.42566191446029	4	Punta Peuco, Regióetropolitana, Chile	CI	CI12	22379	-33.1167	-70.8333	-896016	4	Punta Peuco, Regióetropolitana, Chile	CI	CI12	22379	-33.1167	-70.8333	-896016	4	Punta Peuco, Regióetropolitana, Chile	CI	CI12	22379	-33.1167	-70.8333	-896016	20251112130000	https://www.elciudadano.com/en/santiago-appeals-court-dismisses-punta-peuco-inmates-appeal-against-common-prisoner-admissions/11/12/
1273789138	20251112	202511	2025	2025.8548	CHLJUD	SANTIAGO	CHL					JUD													1	172	172	17	4	-5.0	1	1	1	-1.42566191446029	4	Punta Peuco, Regióetropolitana, Chile	CI	CI12	22379	-33.1167	-70.8333	-896016	0								4	Punta Peuco, Regióetropolitana, Chile	CI	CI12	22379	-33.1167	-70.8333	-896016	20251112130000	https://www.elciudadano.com/en/santiago-appeals-court-dismisses-punta-peuco-inmates-appeal-against-common-prisoner-admissions/11/12/
1273789139	20251112	202511	2025	2025.8548	CHLJUD	SANTIAGO	CHL					JUD			CHL	SANTIAGO	CHL								1	172	172	17	4	-5.0	1	1	1	-1.42566191446029	4	Punta Peuco, Regióetropolitana, Chile	CI	CI12	22379	-33.1167	-70.8333	-896016	4	Punta Peuco, Regióetropolitana, Chile	CI	CI12	22379	-33.1167	-70.8333	-896016	4	Punta Peuco, Regióetropolitana, Chile	CI	CI12	22379	-33.1167	-70.8333	-896016	20251112130000	https://www.elciudadano.com/en/santiago-appeals-court-dismisses-punta-peuco-inmates-appeal-against-common-prisoner-admissions/11/12/
1273789140	20251112	202511	2025	2025.8548	CHLJUD	CHILE	CHL					JUD			CHL	CHILE	CHL								1	172	172	17	4	-5.0	6	1	6	-1.42566191446029	4	Punta Peuco, Regióetropolitana, Chile	CI	CI12	22379	-33.1167	-70.8333	-896016	4	Tiltil, Regióetropolitana, Chile	CI	CI12	22379	-33.0833	-70.9333	-902770	4	Punta Peuco, Regióetropolitana, Chile	CI	CI12	22379	-33.1167	-70.8333	-896016	20251112130000	https://www.elciudadano.com/en/santiago-appeals-court-dismisses-punta-peuco-inmates-appeal-against-common-prisoner-admissions/11/12/
1273789141	20251112	202511	2025	2025.8548	CHN	CHINESE	CHN																		0	0311	031	03	1	5.2	2	1	2	-2.31404958677686	4	Baowu, Zhejiang, China	CH	CH02	13319	30.0568	119.385	11018341	0								4	Baowu, Zhejiang, China	CH	CH02	13319	30.0568	119.385	11018341	20251112130000	https://www.marketscreener.com/news/guinea-aims-for-global-high-grade-iron-ore-leverage-with-simandou-launch-ce7d5fdfd88ff421
1273789142	20251112	202511	2025	2025.8548	CHN	CHINESE	CHN																		1	036	036	03	1	4.0	1	1	1	-2.31404958677686	4	Simandou, Beyla, Guinea	GV	GV01	40722	9.16667	-9.16667	-1185617	0								4	Simandou, Beyla, Guinea	GV	GV01	40722	9.16667	-9.16667	-1185617	20251112130000	https://www.marketscreener.com/news/guinea-aims-for-global-high-grade-iron-ore-leverage-with-simandou-launch-ce7d5fdfd88ff421
1273789143	20251112	202511	2025	2025.8548	CHN	CHINA	CHN																		0	043	043	04	1	2.8	8	1	8	5.87467362924282	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	0								4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	20251112130000	https://www.dailyexpress.com.my/news/270303/mutual-biz-benefit-with-china-awaits-sabahans/
1273789144	20251112	202511	2025	2025.8548	CHN	CHINA	CHN								BUS	INDUSTRY						BUS			1	010	010	01	1	0.0	4	1	4	-3.25581395348838	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20251112130000	https://timesofindia.indiatimes.com/business/international-business/supply-chain-shift-gm-tells-suppliers-to-exit-china-by-2027-move-signals-deeper-us-china-trade-decoupling/articleshow/125274256.cms
1273789145	20251112	202511	2025	2025.8548	CHN	CHINESE	CHN								CHNCVL	CHINA	CHN					CVL			1	050	050	05	1	3.5	2	1	2	5.87467362924282	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	20251112130000	https://www.dailyexpress.com.my/news/270303/mutual-biz-benefit-with-china-awaits-sabahans/
1273789146	20251112	202511	2025	2025.8548	CHN	CHINESE	CHN								CHNGOV	XI JINPING	CHN					GOV			0	046	046	04	1	7.0	6	1	6	0.97222222222222	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20251112130000	https://www.rferl.org/a/putin-kazahstan-trump-oil-sanctions-central-asia-toqaev/33588262.html
1273789147	20251112	202511	2025	2025.8548	CHN	GOBI	CHN								EDU	STUDENT						EDU			1	090	090	09	2	-2.0	5	1	5	-1.24223602484472	4	Monash, South Australia, Australia	AS	AS05	5284	-34.2333	140.567	-1588322	4	Monash, South Australia, Australia	AS	AS05	5284	-34.2333	140.567	-1588322	4	Monash, South Australia, Australia	AS	AS05	5284	-34.2333	140.567	-1588322	20251112130000	https://www.dailyexpress.com.my/news/270319/boat-noise-disrupts-reef-species-behaviour-study/
1273789148	20251112	202511	2025	2025.8548	CHN	CHINA	CHN								GIN	GUINEA	GIN								0	061	061	06	2	6.4	1	1	1	-2.31404958677686	4	Simandou, Beyla, Guinea	GV	GV01	40722	9.16667	-9.16667	-1185617	4	Pilbara, Western Australia, Australia	AS	AS08	5536	-21.25	118.3	-1594999	4	Pilbara, Western Australia, Australia	AS	AS08	5536	-21.25	118.3	-1594999	20251112130000	https://www.marketscreener.com/news/guinea-aims-for-global-high-grade-iron-ore-leverage-with-simandou-launch-ce7d5fdfd88ff421
1273789149	20251112	202511	2025	2025.8548	CHN	CHINA	CHN								GIN	GUINEA	GIN								0	061	061	06	2	6.4	1	1	1	-2.31404958677686	4	Baowu, Zhejiang, China	CH	CH02	13319	30.0568	119.385	11018341	4	Simandou, Beyla, Guinea	GV	GV01	40722	9.16667	-9.16667	-1185617	4	Pilbara, Western Australia, Australia	AS	AS08	5536	-21.25	118.3	-1594999	20251112130000	https://www.marketscreener.com/news/guinea-aims-for-global-high-grade-iron-ore-leverage-with-simandou-launch-ce7d5fdfd88ff421
