1263377634	20250909	202509	2025	2025.6822	GOV	PRESIDENT						GOV			IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO			1	010	010	01	1	0.0	10	1	10	0.41322314049587	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	20250916073000	https://www.euractiv.com/opinion/europes-independence-moment-or-the-long-road-to-agony/
1263377635	20250909	202509	2025	2025.6822	GOV	PRESIDENT						GOV			IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO			1	020	020	02	1	3.0	10	1	10	0.41322314049587	1	Netherlands	NL	NL		52.5	5.75	NL	1	Netherlands	NL	NL		52.5	5.75	NL	1	Netherlands	NL	NL		52.5	5.75	NL	20250916073000	https://www.euractiv.com/opinion/europes-independence-moment-or-the-long-road-to-agony/
1263377636	20250909	202509	2025	2025.6822	GOV	PRIME MINISTER						GOV			ISR	ISRAEL	ISR								0	203	203	20	4	-10.0	2	1	2	-7.2041166380789	1	United States	US	US		39.828175	-98.5795	US	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250916073000	https://www.cnn.com/2025/09/16/middleeast/israel-gaza-genocide-un-commission-report-intl
1263377637	20250909	202509	2025	2025.6822	MIL	MILITARY						MIL													0	111	111	11	3	-2.0	5	1	5	-3.9344262295082	1	Qatar	QA	QA		25.5	51.25	QA	0								1	Qatar	QA	QA		25.5	51.25	QA	20250916073000	https://www.abc.net.au/news/2025-09-16/idf-launches-military-offensive-to-occupy-gaza/105777948
1263377638	20250909	202509	2025	2025.6822	POL	POLAND	POL																		0	010	010	01	1	0.0	5	1	5	-1.38557095078834	4	Minsk Mazowiecki, Mazowieckie, Poland	PL	PL78	24435	52.1819	21.566	-516724	0								4	Minsk Mazowiecki, Mazowieckie, Poland	PL	PL78	24435	52.1819	21.566	-516724	20250916073000	https://www.yahoo.com/news/articles/british-p-8-poseidon-flies-192646732.html
1263377639	20250909	202509	2025	2025.6822	POL	POLAND	POL								GOV	FOREIGN MINIST						GOV			0	010	010	01	1	0.0	5	1	5	-1.38557095078834	4	Minsk Mazowiecki, Mazowieckie, Poland	PL	PL78	24435	52.1819	21.566	-516724	4	Minsk Mazowiecki, Mazowieckie, Poland	PL	PL78	24435	52.1819	21.566	-516724	4	Minsk Mazowiecki, Mazowieckie, Poland	PL	PL78	24435	52.1819	21.566	-516724	20250916073000	https://www.yahoo.com/news/articles/british-p-8-poseidon-flies-192646732.html
1263377640	20250909	202509	2025	2025.6822	USA	UNITED STATES	USA								PSE	GAZA	PSE								0	203	203	20	4	-10.0	4	1	4	-7.2041166380789	1	United States	US	US		39.828175	-98.5795	US	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250916073000	https://www.cnn.com/2025/09/16/middleeast/israel-gaza-genocide-un-commission-report-intl
1263377641	20250909	202509	2025	2025.6822	USALEG	UNITED STATES	USA					LEG			PSE	GAZA	PSE								0	203	203	20	4	-10.0	2	1	2	-7.2041166380789	1	United States	US	US		39.828175	-98.5795	US	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250916073000	https://www.cnn.com/2025/09/16/middleeast/israel-gaza-genocide-un-commission-report-intl
1263377642	20250915	202509	2025	2025.6986	COP	POLICEMAN						COP													1	173	173	17	4	-5.0	10	1	10	-11.1111111111111	4	Demerara, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.1667	-919880	0								4	Demerara, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.1667	-919880	20250916073000	https://www.stabroeknews.com/2025/09/16/news/guyana/ex-policeman-on-trial-over-mfk-owner-murder/
1263377643	20250915	202509	2025	2025.6986	COP	POLICEMAN						COP													1	190	190	19	4	-10.0	10	1	10	-11.1111111111111	4	Demerara, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.1667	-919880	0								4	Demerara, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.1667	-919880	20250916073000	https://www.stabroeknews.com/2025/09/16/news/guyana/ex-policeman-on-trial-over-mfk-owner-murder/
1263377644	20250915	202509	2025	2025.6986	GUY	DEMERARA	GUY																		1	010	010	01	1	0.0	5	1	5	-3.36538461538462	4	Georgetown, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.15	-919880	0								4	Georgetown, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.15	-919880	20250916073000	https://www.stabroeknews.com/2025/09/16/news/guyana/triangular-love-affair-behind-east-st-acid-attack-police/
1263377645	20250915	202509	2025	2025.6986	GUY	GUYANA	GUY																		1	010	010	01	1	0.0	5	1	5	-3.36538461538462	4	Uitvlugt, Essequibo Islands-West Demerara, Guyana	GY	GY14	17155	6.86667	-58.3	-923422	0								4	Demerara, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.1667	-919880	20250916073000	https://www.stabroeknews.com/2025/09/16/news/guyana/triangular-love-affair-behind-east-st-acid-attack-police/
1263377646	20250915	202509	2025	2025.6986	GUY	GUYANA	GUY								HLH	HOSPITAL						HLH			1	020	020	02	1	3.0	4	1	4	-3.36538461538462	4	Georgetown, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.15	-919880	4	Georgetown, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.15	-919880	4	Georgetown, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.15	-919880	20250916073000	https://www.stabroeknews.com/2025/09/16/news/guyana/triangular-love-affair-behind-east-st-acid-attack-police/
