1267393717	20251001	202510	2025	2025.7425	FRAGOV	FRENCH	FRA					GOV			UKR	UKRAINE	UKR								0	163	163	16	4	-8.0	4	1	4	-4.40627333831218	1	France	FR	FR		46	2	FR	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
1267393718	20251001	202510	2025	2025.7425	FRAGOV	FRANCE	FRA					GOV			UKR	UKRAINE	UKR								0	163	163	16	4	-8.0	2	1	2	-4.40627333831218	1	France	FR	FR		46	2	FR	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
1267393719	20251001	202510	2025	2025.7425	MILMIL	MILITARY						MIL	MIL		MIL	ARMED FORCES						MIL			0	020	020	02	1	3.0	1	1	1	-4.01662049861496	2	Oregon, United States	US	USOR		44.5672	-122.127	OR	3	Portland, Oregon, United States	US	USOR	OR051	45.5235	-122.676	1136645	3	Portland, Oregon, United States	US	USOR	OR051	45.5235	-122.676	1136645	20251008061500	https://www.yasstribune.com.au/story/9084399/new-trump-threat-escalates-showdown-with-us-cities/
1267393720	20251007	202510	2025	2025.7589											USABUS	ALASKA	USA					BUS			0	036	036	03	1	4.0	6	1	6	6.68079272092734	0								2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20251008061500	https://www.futuretravelexperience.com/fte-emea/
1267393721	20251007	202510	2025	2025.7589	ISR	ISRAEL	ISR								TUR	TURKEY	TUR								0	040	040	04	1	1.0	1	1	1	-4.40627333831218	4	Dnipropetrovsk, Dnipropetrovs'ka Oblast', Ukraine	UP	UP04	28546	48.463	35.039	-1037865	4	Dnipropetrovsk, Dnipropetrovs'ka Oblast', Ukraine	UP	UP04	28546	48.463	35.039	-1037865	4	Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
1267393722	20251007	202510	2025	2025.7589	ISR	ISRAEL	ISR								TUR	TURKEY	TUR								0	040	040	04	1	1.0	3	1	3	-4.40627333831218	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Turkey	TU	TU		39.059012	34.911546	TU	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
1267393723	20251007	202510	2025	2025.7589	PSE	GAZA	PSE								TUR	TURKEY	TUR								0	040	040	04	1	1.0	1	1	1	-4.40627333831218	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Turkey	TU	TU		39.059012	34.911546	TU	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
1267393724	20251007	202510	2025	2025.7589	TUR	TURKEY	TUR								ISR	ISRAEL	ISR								0	040	040	04	1	1.0	1	1	1	-4.40627333831218	4	Dnipropetrovsk, Dnipropetrovs'ka Oblast', Ukraine	UP	UP04	28546	48.463	35.039	-1037865	4	Dnipropetrovsk, Dnipropetrovs'ka Oblast', Ukraine	UP	UP04	28546	48.463	35.039	-1037865	4	Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
1267393725	20251007	202510	2025	2025.7589	TUR	TURKEY	TUR								ISR	ISRAEL	ISR								0	040	040	04	1	1.0	3	1	3	-4.40627333831218	1	Turkey	TU	TU		39.059012	34.911546	TU	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
1267393726	20251007	202510	2025	2025.7589	TUR	TURKEY	TUR								PSE	GAZA	PSE								0	040	040	04	1	1.0	1	1	1	-4.40627333831218	1	Turkey	TU	TU		39.059012	34.911546	TU	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
1267393727	20251007	202510	2025	2025.7589	USA	ALASKA	USA								USABUS	UNITED STATES	USA					BUS			0	036	036	03	1	4.0	2	1	2	6.68079272092734	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20251008061500	https://www.futuretravelexperience.com/fte-emea/
1267393728	20251007	202510	2025	2025.7589	USA	UNITED STATES	USA								USABUS	UNITED STATES	USA					BUS			0	057	057	05	1	8.0	2	1	2	6.68079272092734	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20251008061500	https://www.futuretravelexperience.com/fte-emea/
