1262078987	20240909	202409	2024	2024.6822	ROUMIL	ROMANIAN						MIL			ROU	ROMANIAN									1	031	031	03	1	5.2	3	1	3	1.88679245283019	4	Black Sea, Oceans (general), Oceans	OS	OS00		43	35	-1506338	4	Black Sea, Oceans (general), Oceans	OS	OS00		43	35	-1506338	4	Black Sea, Oceans (general), Oceans	OS	OS00		43	35	-1506338	20250909090000	https://actmedia.eu/daily/unanimous-opinion-in-defense-committees-for-the-purchase-of-a-light-corvette/115680
1262078988	20250902	202509	2025	2025.6630	GOV	PRESIDENT						GOV													0	172	172	17	4	-5.0	12	1	12	-0.34159461383181	2	Delaware, United States	US	USDE		39.3498	-75.5148	DE	0								2	Delaware, United States	US	USDE		39.3498	-75.5148	DE	20250909090000	https://www.americanthinker.com/blog/2025/09/biden_library_seeks_donors_to_build_its_legacy.html
1262078989	20250902	202509	2025	2025.6630	GOV	PRESIDENT						GOV			USA	UNITED STATES	USA								0	020	020	02	1	3.0	6	1	6	-2.55785627283801	3	Capitol Hill, District of Columbia, United States	US	USDC	DC001	38.889	-77.0003	529313	3	Capitol Hill, District of Columbia, United States	US	USDC		38.889	-77.0003	529313	3	Capitol Hill, District of Columbia, United States	US	USDC		38.889	-77.0003	529313	20250909090000	https://www.huffingtonpost.co.uk/entry/donald-trumps-alleged-birthday-book-message-to-jeffrey-epstein-revealed_uk_68bfbb6ae4b0b1033ef92f25
1262078990	20250902	202509	2025	2025.6630	MNCKOR	HYUNDAI	KOR					MNC													1	090	090	09	2	-2.0	2	1	2	-1.98776758409786	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	0								2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20250909090000	https://www.abc57.com/news/what-we-know-about-the-agreement-for-detained-south-korean-workers-to-return-home
1262078991	20250908	202509	2025	2025.6795	PHL	PHILIPPINE	PHL								MIL	NAVY						MIL			1	051	051	05	1	3.4	6	1	6	3.72492836676218	4	Diego Silang, Quirino, Philippines	RP	RP68	24219	16.623	121.536	10740677	4	Jose Rizal, Laguna, Philippines	RP	RP33	24235	14.4622	121.417	10747823	4	Diego Silang, Quirino, Philippines	RP	RP68	24219	16.623	121.536	10740677	20250909090000	https://www.philstar.com/headlines/2025/09/09/2471593/new-warship-brp-diego-silang-arrives-philippines
1262078992	20250909	202509	2025	2025.6822											AFG	AFGHANISTAN	AFG								1	042	042	04	1	1.9	5	1	5	-1.68067226890756	0								4	Torkham, Nangarhar, Afghanistan	AF	AF18	3667	34.131	71.082	-3395303	4	Torkham, Nangarhar, Afghanistan	AF	AF18	3667	34.131	71.082	-3395303	20250909090000	https://dunyanews.tv/en/Pakistan/905488-over-743000-afghans-repatriated-from-kp-as-nationwide-repatriation-co
1262078993	20250909	202509	2025	2025.6822											AFG	AFGHAN	AFG								1	043	043	04	1	2.8	8	1	8	-1.68067226890756	0								4	Torkham, Nangarhar, Afghanistan	AF	AF18	3667	34.131	71.082	-3395303	4	Torkham, Nangarhar, Afghanistan	AF	AF18	3667	34.131	71.082	-3395303	20250909090000	https://dunyanews.tv/en/Pakistan/905488-over-743000-afghans-repatriated-from-kp-as-nationwide-repatriation-co
1262078994	20250909	202509	2025	2025.6822											AFR	AFRICA	AFR								1	193	193	19	4	-10.0	4	1	4	-7.93650793650793	0								4	Germiston, Gauteng, South Africa	SF	SF06	77364	-26.2348	28.1767	-1230695	4	Germiston, Gauteng, South Africa	SF	SF06	77364	-26.2348	28.1767	-1230695	20250909090000	https://allafrica.com/stories/202509090104.html
1262078995	20250909	202509	2025	2025.6822											AGR	FARMER						AGR			1	030	030	03	1	4.0	10	1	10	1.46137787056368	0								0								0								20250909090000	https://dailynews.co.tz/govt-pledges-to-establish-banana-winery-in-kagera-to-boost-farmers-income/
1262078996	20250909	202509	2025	2025.6822											AGR	FARMER						AGR			1	030	030	03	1	4.0	2	1	2	5.95482546201232	0								4	Kagera, Kigoma, Tanzania	TZ	TZ05	115035	-4.66	30.6689	-2563847	4	Kagera, Kigoma, Tanzania	TZ	TZ05	115035	-4.66	30.6689	-2563847	20250909090000	https://dailynews.co.tz/omani-investors-explore-multi-million-dollar-deals-in-tanzania/
1262078997	20250909	202509	2025	2025.6822											AUS	AUSTRALIA	AUS								1	014	014	01	1	0.0	4	1	4	2.87581699346405	0								4	Warrnambool, Victoria, Australia	AS	AS07	5423	-38.3818	142.488	-1608145	4	Warrnambool, Victoria, Australia	AS	AS07	5423	-38.3818	142.488	-1608145	20250909090000	https://www.standard.net.au/story/9061359/warrnambool-stages-my-brilliant-career-play-at-lighthouse-theatre/
