1267454939	20250908	202509	2025	2025.6795	USAGOV	JOE BIDEN	USA					GOV			EGY	EGYPT	EGY								1	173	173	17	4	-5.0	4	1	4	-6.34249471458774	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	20251008131500	https://www.bozemandailychronicle.com/ap_news/politics/the-latest-comey-will-make-first-court-appearance-in-case-accusing-him-of-lying-to/article_0ce3a223-fedb-5a63-b26f-c545403247dd.html
1267454940	20251001	202510	2025	2025.7425											GHA	GHANA	GHA								0	173	173	17	4	-5.0	2	1	2	-5.08250825082509	0								5	Western Region, Western, Ghana	GH	GH09	190645	5.5	-2.5	-2079999	5	Western Region, Western, Ghana	GH	GH09	190645	5.5	-2.5	-2079999	20251008131500	https://theheraldghana.com/kumasi-governor-wontumi-on-gh%E2%82%B525-million-bail/
1267454941	20251001	202510	2025	2025.7425	EDU	STUDENT						EDU			GBR	EDINBURGH	GBR								1	042	042	04	1	1.9	7	1	7	7.27272727272727	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	20251008131500	https://www.bordertelegraph.com/news/25518860.unicef-awards-selkirk-high-school-silver-status-award/
1267454942	20251001	202510	2025	2025.7425	FRA	PARIS	FRA																		0	051	051	05	1	3.4	2	1	2	1.74880763116058	4	San Giorgio Maggiore, Veneto, Italy	IT	IT20	18418	45.4167	12.3333	-127594	0								4	San Giorgio Maggiore, Veneto, Italy	IT	IT20	18418	45.4167	12.3333	-127594	20251008131500	https://www.dailymail.co.uk/femail/article-15170477/lauren-sanchez-bezos-plastic-surgery-filler-migration-paris.html
1267454943	20251001	202510	2025	2025.7425	FRA	PARIS	FRA																		0	051	051	05	1	3.4	8	1	5	1.74880763116058	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	0								4	San Giorgio Maggiore, Veneto, Italy	IT	IT20	18418	45.4167	12.3333	-127594	20251008131500	https://www.dailymail.co.uk/femail/article-15170477/lauren-sanchez-bezos-plastic-surgery-filler-migration-paris.html
1267454944	20251001	202510	2025	2025.7425	FRA	PARIS	FRA								ITA	ITALY	ITA								0	042	042	04	1	1.9	2	1	2	1.74880763116058	4	San Giorgio Maggiore, Veneto, Italy	IT	IT20	18418	45.4167	12.3333	-127594	4	San Giorgio Maggiore, Veneto, Italy	IT	IT20	18418	45.4167	12.3333	-127594	4	San Giorgio Maggiore, Veneto, Italy	IT	IT20	18418	45.4167	12.3333	-127594	20251008131500	https://www.dailymail.co.uk/femail/article-15170477/lauren-sanchez-bezos-plastic-surgery-filler-migration-paris.html
1267454945	20251001	202510	2025	2025.7425	FRA	PARIS	FRA								ITA	ITALY	ITA								0	042	042	04	1	1.9	16	1	8	1.74880763116058	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	San Giorgio Maggiore, Veneto, Italy	IT	IT20	18418	45.4167	12.3333	-127594	4	San Giorgio Maggiore, Veneto, Italy	IT	IT20	18418	45.4167	12.3333	-127594	20251008131500	https://www.dailymail.co.uk/femail/article-15170477/lauren-sanchez-bezos-plastic-surgery-filler-migration-paris.html
1267454946	20251001	202510	2025	2025.7425	FRA	PARIS	FRA								ITA	ITALY	ITA								0	042	042	04	1	1.9	2	1	2	1.74880763116058	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20251008131500	https://www.dailymail.co.uk/femail/article-15170477/lauren-sanchez-bezos-plastic-surgery-filler-migration-paris.html
1267454947	20251001	202510	2025	2025.7425	GBR	EDINBURGH	GBR								EDU	STUDENT						EDU			1	043	043	04	1	2.8	7	1	7	7.27272727272727	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	20251008131500	https://www.bordertelegraph.com/news/25518860.unicef-awards-selkirk-high-school-silver-status-award/
1267454948	20251001	202510	2025	2025.7425	GOV	PRESIDENT						GOV			MIL	GENERALS						MIL			0	010	010	01	1	0.0	4	1	4	-0.27107617240444	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	20251008131500	https://www.cpr.org/2025/10/08/gop-rep-hurd-government-shutdown-policy-leverage/
