1270733251	20241026	202410	2024	2024.8110	PSE	WEST BANK	PSE								ISRELI	ISRAEL	ISR					ELI			0	1125	112	11	3	-2.0	2	1	2	-9.2	1	West Bank	WE	WE		31.666667	35.25	WE	1	West Bank	WE	WE		31.666667	35.25	WE	1	West Bank	WE	WE		31.666667	35.25	WE	20251026090000	https://www.theguardian.com/commentisfree/2025/oct/26/gaza-war-truth-justice-ceasefire-international-tribunal
1270733252	20241026	202410	2024	2024.8110	PSE	WEST BANK	PSE								ISRELI	ISRAEL	ISR					ELI			0	190	190	19	4	-10.0	1	1	1	-9.2	1	West Bank	WE	WE		31.666667	35.25	WE	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251026090000	https://www.theguardian.com/commentisfree/2025/oct/26/gaza-war-truth-justice-ceasefire-international-tribunal
1270733253	20241026	202410	2024	2024.8110	PSE	WEST BANK	PSE								ISRELI	ISRAEL	ISR					ELI			0	190	190	19	4	-10.0	1	1	1	-9.2	1	West Bank	WE	WE		31.666667	35.25	WE	1	West Bank	WE	WE		31.666667	35.25	WE	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251026090000	https://www.theguardian.com/commentisfree/2025/oct/26/gaza-war-truth-justice-ceasefire-international-tribunal
1270733254	20250926	202509	2025	2025.7288	EGY	EGYPT	EGY																		1	071	071	07	2	7.4	5	1	5	-1.58878504672897	1	Egypt	EG	EG		27	30	EG	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251026090000	https://www.moneycontrol.com/world/trump-s-push-for-gulf-to-pay-for-rebuilding-gaza-faces-hurdles-article-13632622.html
1270733255	20250926	202509	2025	2025.7288	EGY	EGYPT	EGY																		1	071	071	07	2	7.4	2	1	2	-1.58878504672897	1	Jordan	JO	JO		31	36	JO	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251026090000	https://www.moneycontrol.com/world/trump-s-push-for-gulf-to-pay-for-rebuilding-gaza-faces-hurdles-article-13632622.html
1270733256	20250926	202509	2025	2025.7288	EGY	EGYPT	EGY								ISR	ISRAEL	ISR								1	043	043	04	1	2.8	4	1	4	-1.58878504672897	1	Egypt	EG	EG		27	30	EG	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Egypt	EG	EG		27	30	EG	20251026090000	https://www.moneycontrol.com/world/trump-s-push-for-gulf-to-pay-for-rebuilding-gaza-faces-hurdles-article-13632622.html
1270733257	20250926	202509	2025	2025.7288	EGY	EGYPT	EGY								PSE	GAZA	PSE								1	043	043	04	1	2.8	4	1	4	-1.58878504672897	1	Egypt	EG	EG		27	30	EG	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Egypt	EG	EG		27	30	EG	20251026090000	https://www.moneycontrol.com/world/trump-s-push-for-gulf-to-pay-for-rebuilding-gaza-faces-hurdles-article-13632622.html
1270733258	20250926	202509	2025	2025.7288	EGY	EGYPT	EGY								PSE	GAZA	PSE								1	043	043	04	1	2.8	2	1	2	-1.58878504672897	1	Jordan	JO	JO		31	36	JO	1	Egypt	EG	EG		27	30	EG	1	Jordan	JO	JO		31	36	JO	20251026090000	https://www.moneycontrol.com/world/trump-s-push-for-gulf-to-pay-for-rebuilding-gaza-faces-hurdles-article-13632622.html
1270733259	20250926	202509	2025	2025.7288	ISR	ISRAEL	ISR								EGY	EGYPT	EGY								1	042	042	04	1	1.9	4	1	4	-1.58878504672897	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Egypt	EG	EG		27	30	EG	1	Egypt	EG	EG		27	30	EG	20251026090000	https://www.moneycontrol.com/world/trump-s-push-for-gulf-to-pay-for-rebuilding-gaza-faces-hurdles-article-13632622.html
1270733260	20250926	202509	2025	2025.7288	ISR	ISRAEL	ISR								QAT	QATAR	QAT								0	194	194	19	4	-10.0	2	1	2	-4.13669064748201	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Qatar	QA	QA		25.5	51.25	QA	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251026090000	https://www.arabnews.com/node/2620284
1270733261	20250926	202509	2025	2025.7288	ISR	ISRAEL	ISR								QAT	QATAR	QAT								0	194	194	19	4	-10.0	6	1	6	-4.13669064748201	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Qatar	QA	QA		25.5	51.25	QA	1	Qatar	QA	QA		25.5	51.25	QA	20251026090000	https://www.arabnews.com/node/2620284
1270733262	20250926	202509	2025	2025.7288	ISR	ISRAEL	ISR								QAT	QATAR	QAT								0	194	194	19	4	-10.0	2	1	2	-4.13669064748201	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	United States	US	US		39.828175	-98.5795	US	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251026090000	https://www.arabnews.com/node/2620284
1270733263	20250926	202509	2025	2025.7288	PSE	GAZA	PSE								EGY	EGYPT	EGY								1	042	042	04	1	1.9	4	1	4	-1.58878504672897	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Egypt	EG	EG		27	30	EG	1	Egypt	EG	EG		27	30	EG	20251026090000	https://www.moneycontrol.com/world/trump-s-push-for-gulf-to-pay-for-rebuilding-gaza-faces-hurdles-article-13632622.html
1270733264	20250926	202509	2025	2025.7288	PSE	GAZA	PSE								EGY	EGYPT	EGY								1	042	042	04	1	1.9	2	1	2	-1.58878504672897	1	Egypt	EG	EG		27	30	EG	1	Jordan	JO	JO		31	36	JO	1	Jordan	JO	JO		31	36	JO	20251026090000	https://www.moneycontrol.com/world/trump-s-push-for-gulf-to-pay-for-rebuilding-gaza-faces-hurdles-article-13632622.html
1270733265	20251026	202510	2025	2025.8110											ARE	DUBAI	ARE								1	020	020	02	1	3.0	7	1	7	6.27062706270627	0								1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	20251026090000	https://www.hindustantimes.com/lifestyle/health/dont-want-to-use-haldi-for-bridal-glow-try-these-homemade-ubtans-with-greek-yoghurt-chandan-powder-and-more-101761121681466.html
