1265338920	20250926	202509	2025	2025.7288											BGR	BULGARIA	BGR								0	112	112	11	3	-2.0	4	1	4	-5.52325581395349	0								1	Bulgaria	BU	BU		43	25	BU	1	Bulgaria	BU	BU		43	25	BU	20250926100000	https://www.rollonfriday.com/news-content/carter-rucks-work-silencing-fraudsters-critics-revealed
1265338921	20250926	202509	2025	2025.7288											BUS	COMPANY						BUS			1	036	036	03	1	4.0	10	1	10	-1.75695461200586	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20250926100000	https://www.news18.com/tech/microsoft-offers-free-windows-10-update-till-2026-but-only-for-these-pc-users-know-why-ws-l-9597367.html
1265338922	20250926	202509	2025	2025.7288											BUS	BUSINESS						BUS			1	043	043	04	1	2.8	10	1	10	-1.5169194865811	0								4	Kasauli, Himachal Pradesh, India	IN	IN11	17676	30.8989	76.9647	-2099956	4	Kasauli, Himachal Pradesh, India	IN	IN11	17676	30.8989	76.9647	-2099956	20250926100000	https://indianexpress.com/article/express-sunday-eye/local-loudmouths-and-we-thought-only-humans-had-that-skill-10272734/
1265338923	20250926	202509	2025	2025.7288											BUS	BANK						BUS			1	057	057	05	1	8.0	8	1	4	5.6	0								4	Baroda, Gujarat, India	IN	IN09	70124	22.3	73.2	-2114049	4	Baroda, Gujarat, India	IN	IN09	70124	22.3	73.2	-2114049	20250926100000	https://www.equitybulls.com/category.php?id=362102
1265338924	20250926	202509	2025	2025.7288											BUS	BUSINESS						BUS			1	170	170	17	4	-7.0	3	1	3	-3.50194552529183	0								3	Bluffton, South Carolina, United States	US	USSC	SC013	32.2371	-80.8604	1220833	3	Bluffton, South Carolina, United States	US	USSC	SC013	32.2371	-80.8604	1220833	20250926100000	https://thetandd.com/news/state-regional/government-politics/article_895a95e2-6ec4-5cfe-90c5-569d50802280.html
1265338925	20250926	202509	2025	2025.7288											BUS	BUSINESS						BUS			1	170	170	17	4	-7.0	3	1	3	-3.50194552529183	0								3	Sea Pines, South Carolina, United States	US	USSC		32.1335	-80.7948	1237367	3	Sea Pines, South Carolina, United States	US	USSC		32.1335	-80.7948	1237367	20250926100000	https://thetandd.com/news/state-regional/government-politics/article_895a95e2-6ec4-5cfe-90c5-569d50802280.html
1265338926	20250926	202509	2025	2025.7288											CHN	CHINA	CHN								1	043	043	04	1	2.8	9	1	9	4.32900432900433	0								4	Fengchi, Guangdong, China	CH	CH30	13034	22.3582	112.739	11289202	4	Fengchi, Guangdong, China	CH	CH30	13034	22.3582	112.739	11289202	20250926100000	https://www.fonearena.com/blog/465432/oneplus-15-165hz-display-gaming.html
1265338927	20250926	202509	2025	2025.7288											CVL	RESIDENTS						CVL			0	051	051	05	1	3.4	10	1	10	3.19148936170213	0								3	Fredericksburg, Virginia, United States	US	USVA	VA163	37.8929	-79.4378	1494946	3	Fredericksburg, Virginia, United States	US	USVA	VA163	37.8929	-79.4378	1494946	20250926100000	https://fredericksburg.com/news/local/government-politics/article_826cf319-cc95-40c6-84cb-b3bd4d83a2e9.html
1265338928	20250926	202509	2025	2025.7288											EDU	STUDENT						EDU			1	043	043	04	1	2.8	10	1	10	-0.34542314335061	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20250926100000	https://www.thedp.com/article/2025/09/penn-wharton-international-student-mba-decline
1265338929	20250926	202509	2025	2025.7288											EDUEDU	COLLEGE						EDU	EDU		1	060	060	06	2	6.0	10	1	10	2.83505154639175	0								0								0								20250926100000	https://www.fonearena.com/blog/465459/openai-chatgpt-pulse-features.html
1265338930	20250926	202509	2025	2025.7288											EDUGOV	SCHOOL						EDU	GOV		1	036	036	03	1	4.0	5	1	5	-4.30107526881721	0								0								0								20250926100000	https://www.sunstar.com.ph/zamboanga/zamboanga-city-mayor-suspends-classes-due-to-inclement-weather
1265338931	20250926	202509	2025	2025.7288											ELI	ACTOR						ELI			1	017	017	01	1	0.0	10	1	10	5.21920668058456	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20250926100000	https://www.news18.com/lifestyle/sanya-malhotra-brings-vintage-glamour-back-in-black-and-white-polka-dot-dress-ws-l-9598151.html
