1263062776	20250914	202509	2025	2025.6959											BUS	INDUSTRY						BUS			0	036	036	03	1	4.0	10	1	10	4.04858299595142	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20250914101500	https://ianslive.in/2000-experts-from-100-nations-to-discuss-international-electrotechnical-standards-in-india--20250914141007
1263062777	20250914	202509	2025	2025.6959											BUS	EMPLOYER						BUS			0	040	040	04	1	1.0	15	1	10	0.14164305949009	0								3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20250914101500	https://www.businessinsider.com/consulting-industry-outlook-entry-level-workers-hiring-mckinsey-bcg-bain-2025-9
1263062778	20250914	202509	2025	2025.6959											BUS	INDUSTRY						BUS			1	042	042	04	1	1.9	10	1	10	0.14164305949009	0								3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20250914101500	https://www.businessinsider.com/consulting-industry-outlook-entry-level-workers-hiring-mckinsey-bcg-bain-2025-9
1263062779	20250914	202509	2025	2025.6959											BUS	EMPLOYER						BUS			0	043	043	04	1	2.8	5	1	5	0.14164305949009	0								3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20250914101500	https://www.businessinsider.com/consulting-industry-outlook-entry-level-workers-hiring-mckinsey-bcg-bain-2025-9
1263062780	20250914	202509	2025	2025.6959											BUS	COMPANY						BUS			1	046	046	04	1	7.0	6	1	6	1.44665461121157	0								2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Utah, United States	US	USUT		40.1135	-111.854	UT	20250914101500	https://www.businessinsider.com/ancestry-ai-models-cto-sriram-thiagarajan-2025-9
1263062781	20250914	202509	2025	2025.6959											BUS	COMPANY						BUS			1	057	057	05	1	8.0	10	1	10	3.61145703611457	0								1	Paraguay	PA	PA		-22.993333	-57.996389	PA	1	Paraguay	PA	PA		-22.993333	-57.996389	PA	20250914101500	https://www.globenewswire.com/news-release/2025/09/14/3149521/0/en/Ueno-Bank-Brings-Its-2-2M-Customers-Quantum-Resistant-Banking-with-SignQuantum-and-QANplatform.html
1263062782	20250914	202509	2025	2025.6959											CAN	CANADA	CAN								1	042	042	04	1	1.9	11	1	10	2.70855904658721	0								4	Inuvik, Northwest Territories, Canada	CA	CA13	25042	68.35	-133.7	-566625	4	Inuvik, Northwest Territories, Canada	CA	CA13	25042	68.35	-133.7	-566625	20250914101500	https://www.cbc.ca/news/canada/london/q-a-a-motorcycle-road-trip-of-a-lifetime-to-the-4-corners-of-canada-1.7628991
1263062783	20250914	202509	2025	2025.6959											CAN	CANADA	CAN								0	042	042	04	1	1.9	3	1	3	2.70855904658721	0								4	Tuktoyaktuk, Northwest Territories, Canada	CA	CA13	25042	69.45	-133.067	-575045	4	Tuktoyaktuk, Northwest Territories, Canada	CA	CA13	25042	69.45	-133.067	-575045	20250914101500	https://www.cbc.ca/news/canada/london/q-a-a-motorcycle-road-trip-of-a-lifetime-to-the-4-corners-of-canada-1.7628991
1263062784	20250914	202509	2025	2025.6959											COP	DEPUTY						COP			1	020	020	02	1	3.0	3	1	3	-5.88235294117647	0								4	Hadapsar, Maharashtra, India	IN	IN16	70178	18.5167	73.9167	-2096981	4	Hadapsar, Maharashtra, India	IN	IN16	70178	18.5167	73.9167	-2096981	20250914101500	https://www.moneycontrol.com/news/india/who-parrikar-ajit-pawar-s-remark-on-late-goa-cm-sparks-embarrassment-13545075.html
1263062785	20250914	202509	2025	2025.6959											COP	DEPUTY						COP			1	020	020	02	1	3.0	3	1	3	-5.88235294117647	0								4	Mopa, Goa, India	IN	IN33	17779	15.75	73.85	-2104764	4	Mopa, Goa, India	IN	IN33	17779	15.75	73.85	-2104764	20250914101500	https://www.moneycontrol.com/news/india/who-parrikar-ajit-pawar-s-remark-on-late-goa-cm-sparks-embarrassment-13545075.html
1263062786	20250914	202509	2025	2025.6959											COP	DEPUTY						COP			1	020	020	02	1	3.0	4	1	4	-5.88235294117647	0								4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	20250914101500	https://www.moneycontrol.com/news/india/who-parrikar-ajit-pawar-s-remark-on-late-goa-cm-sparks-embarrassment-13545075.html
1263062787	20250914	202509	2025	2025.6959											COP	POLICE						COP			0	057	057	05	1	8.0	1	1	1	-0.5902192242833	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20250914101500	https://www.inquirer.com/news/pennsylvania-police-ice-partnerships-immigration-20250914.html
1263062788	20250914	202509	2025	2025.6959											COP	POLICE						COP			0	057	057	05	1	8.0	4	1	4	-0.5902192242833	0								2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20250914101500	https://www.inquirer.com/news/pennsylvania-police-ice-partnerships-immigration-20250914.html
1263062789	20250914	202509	2025	2025.6959											CRM	MOBSTER						CRM			1	181	181	18	4	-9.0	5	1	5	0	0								0								0								20250914101500	https://www.tvguide.co.uk/schedule/1d13bb73-9648-51d9-8eee-bbbbd4b0473a/the-a-team
1263062790	20250914	202509	2025	2025.6959											CVL	CIVILIAN						CVL			1	190	190	19	4	-10.0	7	1	7	-6.8	0								4	Bashkortostan, Bashkortostan, Russia	RS	RS08	25087	56.2445	56.2518	10272783	4	Bashkortostan, Bashkortostan, Russia	RS	RS08	25087	56.2445	56.2518	10272783	20250914101500	https://eaworldview.com/2025/09/ukraine-war-day-1298-kyivs-drones-strike-more-oil-refineries-inside-russia/
