1273796896	20251105	202511	2025	2025.8356	BEL	BELGIUM	BEL								IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO			0	042	042	04	1	1.9	2	1	2	1.13636363636364	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	20251112134500	https://www.winnipegfreepress.com/world/2025/11/12/taiwans-foreign-minister-says-closer-ties-with-israel-align-with-the-islands-interests
1273796897	20251105	202511	2025	2025.8356	IDN	INDONESIA	IDN								IDNCOP	INDONESIA	IDN					COP			1	043	043	04	1	2.8	2	1	2	-8.68544600938967	4	Asahan, Aceh, Indonesia	ID	ID01	18585	3.1214	97.2981	400594	4	Sumatra, Indonesia (general), Indonesia	ID	ID00	18585	0	102	-2698115	4	Asahan, Aceh, Indonesia	ID	ID01	18585	3.1214	97.2981	400594	20251112134500	https://en.antaranews.com/news/391421/indonesias-north-sumatra-police-hunt-mastermind-behind-76kg-meth-bust
1273796898	20251105	202511	2025	2025.8356	IDN	INDONESIA	IDN								IDNCOP	INDONESIA	IDN					COP			1	043	043	04	1	2.8	6	1	6	-8.68544600938967	4	Asahan, Aceh, Indonesia	ID	ID01	18585	3.1214	97.2981	400594	4	Antara, Aceh, Indonesia	ID	ID01	18585	3.5292	99.0184	10119106	4	Asahan, Aceh, Indonesia	ID	ID01	18585	3.1214	97.2981	400594	20251112134500	https://en.antaranews.com/news/391421/indonesias-north-sumatra-police-hunt-mastermind-behind-76kg-meth-bust
1273796899	20251105	202511	2025	2025.8356	IDNCOP	INDONESIA	IDN					COP			IDN	INDONESIA	IDN								1	042	042	04	1	1.9	8	1	8	-8.68544600938967	4	Antara, Aceh, Indonesia	ID	ID01	18585	3.5292	99.0184	10119106	4	Antara, Aceh, Indonesia	ID	ID01	18585	3.5292	99.0184	10119106	4	Antara, Aceh, Indonesia	ID	ID01	18585	3.5292	99.0184	10119106	20251112134500	https://en.antaranews.com/news/391421/indonesias-north-sumatra-police-hunt-mastermind-behind-76kg-meth-bust
1273796900	20251105	202511	2025	2025.8356	IDNCOP	INDONESIA	IDN					COP			IDN	INDONESIA	IDN								1	173	173	17	4	-5.0	2	1	2	-8.68544600938967	4	Sumatra, Indonesia (general), Indonesia	ID	ID00	18585	0	102	-2698115	4	Asahan, Aceh, Indonesia	ID	ID01	18585	3.1214	97.2981	400594	4	Asahan, Aceh, Indonesia	ID	ID01	18585	3.1214	97.2981	400594	20251112134500	https://en.antaranews.com/news/391421/indonesias-north-sumatra-police-hunt-mastermind-behind-76kg-meth-bust
1273796901	20251105	202511	2025	2025.8356	IDNCOP	INDONESIA	IDN					COP			IDN	INDONESIA	IDN								1	173	173	17	4	-5.0	6	1	6	-8.68544600938967	4	Antara, Aceh, Indonesia	ID	ID01	18585	3.5292	99.0184	10119106	4	Asahan, Aceh, Indonesia	ID	ID01	18585	3.1214	97.2981	400594	4	Asahan, Aceh, Indonesia	ID	ID01	18585	3.1214	97.2981	400594	20251112134500	https://en.antaranews.com/news/391421/indonesias-north-sumatra-police-hunt-mastermind-behind-76kg-meth-bust
1273796902	20251105	202511	2025	2025.8356	IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO			BEL	BELGIUM	BEL								0	043	043	04	1	2.8	2	1	2	1.13636363636364	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	20251112134500	https://www.winnipegfreepress.com/world/2025/11/12/taiwans-foreign-minister-says-closer-ties-with-israel-align-with-the-islands-interests
1273796903	20251105	202511	2025	2025.8356	ISR	ISRAEL	ISR								USA	UNITED STATES	USA								0	040	040	04	1	1.0	2	1	2	-0.80226521944313	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251112134500	https://www.cjr.org/feature/the-tragic-loss-of-teen-vogue.php
1273796904	20251105	202511	2025	2025.8356	JUD	SUPREME COURT						JUD													0	014	014	01	1	0.0	10	1	10	-1.31578947368421	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	0								2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20251112134500	https://indianexpress.com/article/explained/explained-global/longest-ever-us-government-shutdown-end-10361481/
1273796905	20251105	202511	2025	2025.8356	JUD	SUPREME COURT						JUD			GOV	ADMINISTRATION						GOV			0	071	071	07	2	7.4	10	1	10	-1.31578947368421	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20251112134500	https://indianexpress.com/article/explained/explained-global/longest-ever-us-government-shutdown-end-10361481/
