1263364034	20250909	202509	2025	2025.6822	BLR	BELARUS	BLR								OPP	POLITICAL PRISONER						OPP			1	0841	084	08	2	7.0	2	1	2	-1.94174757281554	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20250916054500	https://www.zerohedge.com/military/us-military-officers-surprise-visit-belarus-observe-joint-russian-war-games
1263364035	20250909	202509	2025	2025.6822	BLR	BELARUS	BLR								OPP	POLITICAL PRISONER						OPP			1	0841	084	08	2	7.0	2	1	2	-1.94174757281554	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	1	Lithuania	LH	LH		56	24	LH	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20250916054500	https://www.zerohedge.com/military/us-military-officers-surprise-visit-belarus-observe-joint-russian-war-games
1263364036	20250909	202509	2025	2025.6822	BLR	BELARUS	BLR								OPP	POLITICAL PRISONER						OPP			1	0841	084	08	2	7.0	6	1	6	-1.94174757281554	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	1	Lithuania	LH	LH		56	24	LH	1	Lithuania	LH	LH		56	24	LH	20250916054500	https://www.zerohedge.com/military/us-military-officers-surprise-visit-belarus-observe-joint-russian-war-games
1263364037	20250909	202509	2025	2025.6822	OPP	ACTIVIST						OPP													1	043	043	04	1	2.8	6	1	6	-4.34782608695653	3	Utah Valley University, Utah, United States	US	USUT	UT049	40.2222	-111.659	1449138	0								3	Utah Valley University, Utah, United States	US	USUT		40.2222	-111.659	1449138	20250916054500	https://kdhnews.com/news/local/thousands-gather-in-lampasas-to-remember-charlie-kirk/article_0b477cd6-faa0-4a74-9c6e-eda770ef8725.html
1263364038	20250909	202509	2025	2025.6822	OPP	ACTIVIST						OPP			USA	UNITED STATES	USA								1	042	042	04	1	1.9	4	1	4	-4.34782608695653	3	Utah Valley University, Utah, United States	US	USUT	UT049	40.2222	-111.659	1449138	3	Utah Valley University, Utah, United States	US	USUT		40.2222	-111.659	1449138	3	Utah Valley University, Utah, United States	US	USUT		40.2222	-111.659	1449138	20250916054500	https://kdhnews.com/news/local/thousands-gather-in-lampasas-to-remember-charlie-kirk/article_0b477cd6-faa0-4a74-9c6e-eda770ef8725.html
1263364039	20250909	202509	2025	2025.6822	USA	UNITED STATES	USA								OPP	ACTIVIST						OPP			1	043	043	04	1	2.8	4	1	4	-4.34782608695653	3	Utah Valley University, Utah, United States	US	USUT	UT049	40.2222	-111.659	1449138	3	Utah Valley University, Utah, United States	US	USUT		40.2222	-111.659	1449138	3	Utah Valley University, Utah, United States	US	USUT		40.2222	-111.659	1449138	20250916054500	https://kdhnews.com/news/local/thousands-gather-in-lampasas-to-remember-charlie-kirk/article_0b477cd6-faa0-4a74-9c6e-eda770ef8725.html
1263364040	20250909	202509	2025	2025.6822	USA	CHICAGO	USA								USAGOV	OBAMA	USA					GOV			0	060	060	06	2	6.0	8	1	8	5.6969696969697	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20250916054500	https://www.theartnewspaper.com/2025/09/16/artists-jennifer-packer-and-marie-watt-receive-250000-heinz-awards
1263364041	20250909	202509	2025	2025.6822	USA	UNITED STATES	USA								USAGOV	OBAMA	USA					GOV			0	060	060	06	2	6.0	2	1	2	5.6969696969697	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	2	New York, United States	US	USNY		42.1497	-74.9384	NY	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20250916054500	https://www.theartnewspaper.com/2025/09/16/artists-jennifer-packer-and-marie-watt-receive-250000-heinz-awards
1263364042	20250909	202509	2025	2025.6822	USAGOV	OBAMA	USA					GOV			USA	CHICAGO	USA								0	060	060	06	2	6.0	6	1	6	5.6969696969697	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Portland, Oregon, United States	US	USOR	OR051	45.5235	-122.676	1136645	20250916054500	https://www.theartnewspaper.com/2025/09/16/artists-jennifer-packer-and-marie-watt-receive-250000-heinz-awards
1263364043	20250909	202509	2025	2025.6822	USAGOV	OBAMA	USA					GOV			USA	UNITED STATES	USA								0	060	060	06	2	6.0	4	1	4	5.6969696969697	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20250916054500	https://www.theartnewspaper.com/2025/09/16/artists-jennifer-packer-and-marie-watt-receive-250000-heinz-awards
1263364044	20250916	202509	2025	2025.7014											AUS	AUSTRALIA	AUS								0	036	036	03	1	4.0	6	1	6	0.40595399188092	0								4	Illawarra, Victoria, Australia	AS	AS07	5410	-37.0667	142.7	-1579342	4	Illawarra, Victoria, Australia	AS	AS07	5410	-37.0667	142.7	-1579342	20250916054500	https://www.miragenews.com/community-reacts-to-victorian-offshore-wind-1534107/
