1261002664	20250804	202508	2025	2025.5863	USA	UNITED STATES	USA								GOV	CABINET						GOV			1	043	043	04	1	2.8	2	1	2	0.35335689045937	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20250903050000	https://www.juneauempire.com/news/sullivan-discusses-federal-advocacy-legislation-during-soldotna-visit/
1261002665	20250827	202508	2025	2025.6493											CVL	COMMUNITY						CVL			0	046	046	04	1	7.0	10	1	10	-2.82051282051283	0								3	Suffolk County, New York, United States	US	USNY		40.8668	-72.7995	974149	3	Suffolk County, New York, United States	US	USNY		40.8668	-72.7995	974149	20250903050000	https://www.newsday.com/long-island/education/connetquot-school-board-mascot-t-birds-h1pj4c0u
1261002666	20250827	202508	2025	2025.6493	CHRCTH	CATHOLIC				CHR	CTH														0	010	010	01	1	0.0	5	1	5	4.15512465373961	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20250903050000	https://www.wgrz.com/article/news/local/catholic-health-and-cwa-continue-continue-contract-negotiations-strike-looms/71-2999c6a1-1628-4d23-92da-c58e6f0b3799
1261002667	20250827	202508	2025	2025.6493	CVL	COMMUNITY						CVL													0	046	046	04	1	7.0	4	1	4	-2.82051282051283	3	Suffolk County, New York, United States	US	USNY	NY103	40.8668	-72.7995	974149	0								3	Suffolk County, New York, United States	US	USNY		40.8668	-72.7995	974149	20250903050000	https://www.newsday.com/long-island/education/connetquot-school-board-mascot-t-birds-h1pj4c0u
1261002668	20250903	202509	2025	2025.6658											AGR	CROPPER						AGR			1	020	020	02	1	3.0	10	1	10	-2.68096514745308	0								0								0								20250903050000	https://www.newsbug.info/wcinews/news/attica-board-of-works-listens-to-customers-concerns/article_d606c89a-49f0-4710-aec7-d5445a8431bb.html
1261002669	20250903	202509	2025	2025.6658											AUS	AUSTRALIA	AUS								0	042	042	04	1	1.9	4	1	4	-4.20711974110033	0								4	Port Kembla, New South Wales, Australia	AS	AS02	5113	-34.4667	150.9	-1595881	4	Port Kembla, New South Wales, Australia	AS	AS02	5113	-34.4667	150.9	-1595881	20250903050000	https://www.perthnow.com.au/news/qube-ports-worker-david-jenkins-awarded-33000-for-lost-wages-after-fwc-unfair-dismissal-win-c-19897131
1261002670	20250903	202509	2025	2025.6658											AUS	AUSTRALIA	AUS								1	043	043	04	1	2.8	7	1	4	-4.20711974110033	0								4	Port Kembla, New South Wales, Australia	AS	AS02	5113	-34.4667	150.9	-1595881	4	Port Kembla, New South Wales, Australia	AS	AS02	5113	-34.4667	150.9	-1595881	20250903050000	https://www.perthnow.com.au/news/qube-ports-worker-david-jenkins-awarded-33000-for-lost-wages-after-fwc-unfair-dismissal-win-c-19897131
1261002671	20250903	202509	2025	2025.6658											BGD	BANGLADESH	BGD								0	042	042	04	1	1.9	2	1	2	-7.51445086705203	0								1	Bangladesh	BG	BG		24	90	BG	3	Mount Dora, Florida, United States	US	USFL		28.8025	-81.6445	287215	20250903050000	https://www.wogx.com/news/lake-county-deputies-obtain-arrest-warrant-eustis-womans-homicide
1261002672	20250903	202509	2025	2025.6658											BUS	BUSINESS						BUS			0	020	020	02	1	3.0	6	1	6	-0.13140604467806	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250903050000	https://www.kens5.com/article/news/state/texas-news/texas-flood/kerr-county-family-survive-flood-texas/273-a55d6a39-9f23-47d3-bb67-f1d6e92ad4bc
1261002673	20250903	202509	2025	2025.6658											BUS	SERVER						BUS			1	042	042	04	1	1.9	4	1	4	2.06185567010309	0								4	Jiaxing, Zhejiang, China	CH	CH02	13322	30.7522	120.75	-1912033	4	Jiaxing, Zhejiang, China	CH	CH02	13322	30.7522	120.75	-1912033	20250903050000	https://www.4hoteliers.com/features/article/17425
1261002674	20250903	202509	2025	2025.6658											BUS	SERVER						BUS			1	057	057	05	1	8.0	4	1	4	2.06185567010309	0								4	Jiaxing, Zhejiang, China	CH	CH02	13322	30.7522	120.75	-1912033	4	Jiaxing, Zhejiang, China	CH	CH02	13322	30.7522	120.75	-1912033	20250903050000	https://www.4hoteliers.com/features/article/17425
1261002675	20250903	202509	2025	2025.6658											BUS	BUSINESS						BUS			0	100	100	10	3	-5.0	6	1	6	-0.13140604467806	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250903050000	https://www.kens5.com/article/news/state/texas-news/texas-flood/kerr-county-family-survive-flood-texas/273-a55d6a39-9f23-47d3-bb67-f1d6e92ad4bc
1261002676	20250903	202509	2025	2025.6658											BUS	COMPANIES						BUS			1	192	192	19	4	-9.5	10	1	10	1.67865707434053	0								4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20250903050000	https://economictimes.indiatimes.com/markets/stocks/news/eternal-shares-in-focus-as-zomato-hikes-platform-fee-to-rs-12-amid-festive-demand-surge/articleshow/123668469.cms
1261002677	20250903	202509	2025	2025.6658											CHN	CHINA	CHN								0	030	030	03	1	4.0	4	1	4	3.53505092869982	0								1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20250903050000	https://www.marketscreener.com/news/rlx-technology-q2-2025-transcript-ce7d59dadd89f321
1261002678	20250903	202509	2025	2025.6658											CHN	CHINA	CHN								0	040	040	04	1	1.0	5	1	5	-0.12254901960785	0								4	Tiananmen, Beijing, China	CH	CH22	13001	39.9072	116.391	-1928471	4	Tiananmen, Beijing, China	CH	CH22	13001	39.9072	116.391	-1928471	20250903050000	https://www.stalbertgazette.com/world-news/china-displays-its-military-strength-in-a-parade-on-the-80th-anniversary-of-the-end-of-wwii-11157476
1261002679	20250903	202509	2025	2025.6658											CHN	CHINA	CHN								0	040	040	04	1	1.0	5	1	5	-0.12254901960785	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250903050000	https://www.stalbertgazette.com/world-news/china-displays-its-military-strength-in-a-parade-on-the-80th-anniversary-of-the-end-of-wwii-11157476
1261002680	20250903	202509	2025	2025.6658											CHN	BEIJING	CHN								0	042	042	04	1	1.9	2	1	2	-3.25342465753425	0								1	Japan	JA	JA		36	138	JA	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20250903050000	https://www.taipeitimes.com/News/taiwan/archives/2025/09/03/2003843167
1261002681	20250903	202509	2025	2025.6658											COP	POLICE						COP			0	043	043	04	1	2.8	10	1	10	-3.81986328910334	0								4	Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	4	Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	20250903050000	https://monthlyreview.org/2025/09/01/gogols-nose/
1261002682	20250903	202509	2025	2025.6658											COP	TROOPER						COP			1	073	073	07	2	7.4	10	1	10	-8.99532710280373	0								1	Jordan	JO	JO		31	36	JO	1	Jordan	JO	JO		31	36	JO	20250903050000	https://www.juneauempire.com/news/police-calls-aug-27-31/
