1269601495	20251013	202510	2025	2025.7753	EUR	EUROPEAN	EUR								GRC	GREECE	GRC								1	040	040	04	1	1.0	1	1	1	1.34680134680135	4	Limassol, Limassol, Cyprus	CY	CY05	14809	34.675	33.0333	-2738495	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Limassol, Limassol, Cyprus	CY	CY05	14809	34.675	33.0333	-2738495	20251020120000	https://cyprus-mail.com/2025/10/20/interconnector-a-priority-papanastasiou-says
1269601496	20251013	202510	2025	2025.7753	EUR	EUROPEAN	EUR								GRC	GREECE	GRC								1	040	040	04	1	1.0	3	1	3	1.34680134680135	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	20251020120000	https://cyprus-mail.com/2025/10/20/interconnector-a-priority-papanastasiou-says
1269601497	20251013	202510	2025	2025.7753	EUR	EUROPEAN	EUR								GRC	GREECE	GRC								1	112	112	11	3	-2.0	1	1	1	1.34680134680135	4	Limassol, Limassol, Cyprus	CY	CY05	14809	34.675	33.0333	-2738495	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Limassol, Limassol, Cyprus	CY	CY05	14809	34.675	33.0333	-2738495	20251020120000	https://cyprus-mail.com/2025/10/20/interconnector-a-priority-papanastasiou-says
1269601498	20251013	202510	2025	2025.7753	EUR	EUROPEAN	EUR								GRC	GREECE	GRC								1	112	112	11	3	-2.0	1	1	1	1.34680134680135	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	20251020120000	https://cyprus-mail.com/2025/10/20/interconnector-a-priority-papanastasiou-says
1269601499	20251013	202510	2025	2025.7753	GBR	UNITED KINGDOM	GBR																		1	031	031	03	1	5.2	10	5	10	-0.497593126175402	4	Ardersier, Highland, United Kingdom	UK	UKV3	40172	57.5667	-4.03333	-2588402	0								4	Ming Yang, Jiangxi, China	CH	CH03	13167	27.0082	116.207	11066054	20251020120000	https://www.dissexpress.co.uk/national/john-swinney-defends-meeting-with-chinese-firm-157199/
1269601500	20251013	202510	2025	2025.7753	GOV	PRIME MINISTER						GOV			SAU	SAUDI ARABIA	SAU								1	036	036	03	1	4.0	8	1	8	1.11524163568773	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20251020120000	https://dailytimes.com.pk/1386875/pm-shehbaz-heads-to-saudi-for-key-talks/
1269601501	20251013	202510	2025	2025.7753	GRC	GREECE	GRC								CYP	CYPRUS	CYP								1	112	112	11	3	-2.0	2	1	2	1.34680134680135	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Limassol, Limassol, Cyprus	CY	CY05	14809	34.675	33.0333	-2738495	4	Limassol, Limassol, Cyprus	CY	CY05	14809	34.675	33.0333	-2738495	20251020120000	https://cyprus-mail.com/2025/10/20/interconnector-a-priority-papanastasiou-says
1269601502	20251013	202510	2025	2025.7753	GRC	GREECE	GRC								CYP	CYPRUS	CYP								1	112	112	11	3	-2.0	1	1	1	1.34680134680135	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Limassol, Limassol, Cyprus	CY	CY05	14809	34.675	33.0333	-2738495	20251020120000	https://cyprus-mail.com/2025/10/20/interconnector-a-priority-papanastasiou-says
1269601503	20251013	202510	2025	2025.7753	GRC	GREECE	GRC								CYP	CYPRUS	CYP								1	112	112	11	3	-2.0	3	1	3	1.34680134680135	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	20251020120000	https://cyprus-mail.com/2025/10/20/interconnector-a-priority-papanastasiou-says
1269601504	20251013	202510	2025	2025.7753	GRC	GREECE	GRC								EUR	EUROPEAN	EUR								1	040	040	04	1	1.0	1	1	1	1.34680134680135	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Limassol, Limassol, Cyprus	CY	CY05	14809	34.675	33.0333	-2738495	4	Limassol, Limassol, Cyprus	CY	CY05	14809	34.675	33.0333	-2738495	20251020120000	https://cyprus-mail.com/2025/10/20/interconnector-a-priority-papanastasiou-says
1269601505	20251013	202510	2025	2025.7753	GRC	GREECE	GRC								EUR	EUROPEAN	EUR								1	040	040	04	1	1.0	1	1	1	1.34680134680135	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Limassol, Limassol, Cyprus	CY	CY05	14809	34.675	33.0333	-2738495	20251020120000	https://cyprus-mail.com/2025/10/20/interconnector-a-priority-papanastasiou-says
