1263215354	20250908	202509	2025	2025.6795	IRQ	IRAQI	IRQ								MILMOS	MILITARY				MOS		MIL			1	020	020	02	1	3.0	2	1	2	-7.00218818380744	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20250915121500	https://www.washingtonexaminer.com/opinion/beltway-confidential/3807307/trump-should-punish-terrorist-flirtations-from-qatar-and-turkey/
1263215355	20250908	202509	2025	2025.6795	IRQ	IRAQI	IRQ								MILMOS	MILITARY				MOS		MIL			1	020	020	02	1	3.0	2	1	2	-7.00218818380744	1	Turkey	TU	TU		39.059012	34.911546	TU	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250915121500	https://www.washingtonexaminer.com/opinion/beltway-confidential/3807307/trump-should-punish-terrorist-flirtations-from-qatar-and-turkey/
1263215356	20250908	202509	2025	2025.6795	IRQGOV	IRAQ	IRQ					GOV			MILMOS	MILITARY				MOS		MIL			1	020	020	02	1	3.0	2	1	2	-7.00218818380744	1	Turkey	TU	TU		39.059012	34.911546	TU	1	United States	US	US		39.828175	-98.5795	US	1	Turkey	TU	TU		39.059012	34.911546	TU	20250915121500	https://www.washingtonexaminer.com/opinion/beltway-confidential/3807307/trump-should-punish-terrorist-flirtations-from-qatar-and-turkey/
1263215357	20250908	202509	2025	2025.6795	IRQGOV	IRAQI	IRQ					GOV			MILMOS	MILITARY				MOS		MIL			1	020	020	02	1	3.0	4	1	4	-7.00218818380744	1	Turkey	TU	TU		39.059012	34.911546	TU	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250915121500	https://www.washingtonexaminer.com/opinion/beltway-confidential/3807307/trump-should-punish-terrorist-flirtations-from-qatar-and-turkey/
1263215358	20250908	202509	2025	2025.6795	ISR	ISRAEL	ISR								ESP	SPANISH	ESP								0	057	057	05	1	8.0	1	1	1	-5.86881472957422	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250915121500	https://www.presstv.ir/Detail/2025/09/15/755036/Hollywood-war-Israel-genocide-Gaza
1263215359	20250908	202509	2025	2025.6795	RUS	RUSSIAN	RUS								POL	POLISH	POL								1	150	150	15	4	-7.2	1	1	1	-5.88235294117647	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250915121500	https://www.yahoo.com/news/articles/russia-warns-nato-against-establishing-103924304.html
1263215360	20250908	202509	2025	2025.6795	RUS	RUSSIA	RUS								POL	POLAND	POL								1	150	150	15	4	-7.2	2	1	2	-5.88235294117647	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	Poland	PL	PL		52	20	PL	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250915121500	https://www.yahoo.com/news/articles/russia-warns-nato-against-establishing-103924304.html
1263215361	20250908	202509	2025	2025.6795	RUS	RUSSIAN	RUS								POL	POLISH	POL								1	150	150	15	4	-7.2	5	1	5	-5.88235294117647	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	Poland	PL	PL		52	20	PL	1	Poland	PL	PL		52	20	PL	20250915121500	https://www.yahoo.com/news/articles/russia-warns-nato-against-establishing-103924304.html
1263215362	20250908	202509	2025	2025.6795	UKR	UKRAINE	UKR								GBR	UNITED KINGDOM	GBR								1	042	042	04	1	1.9	1	1	1	0.68493150684932	1	Ukraine	UP	UP		49	32	UP	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	1	Ukraine	UP	UP		49	32	UP	20250915121500	https://www.express.co.uk/news/royal/2108643/prince-harry-gaslighting-prince-william
1263215363	20250908	202509	2025	2025.6795	UKR	UKRAINE	UKR								USA	THE US	USA								1	036	036	03	1	4.0	1	1	1	0.68493150684932	1	Ukraine	UP	UP		49	32	UP	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	20250915121500	https://www.express.co.uk/news/royal/2108643/prince-harry-gaslighting-prince-william
