1267606454	20251009	202510	2025	2025.7644											AGR	FISHER						AGR			1	042	042	04	1	1.9	6	1	6	5.29891304347826	0								4	Nobbys Beach, New South Wales, Australia	AS	AS02	5096	-32.9235	151.793	11423099	4	Nobbys Beach, New South Wales, Australia	AS	AS02	5096	-32.9235	151.793	11423099	20251009070000	https://www.macleayargus.com.au/story/9085192/newcastle-pride-2025-a-celebration-of-diversity-and-truth/
1267606455	20251009	202510	2025	2025.7644											ARE	ABU DHABI	ARE								1	042	042	04	1	1.9	6	1	6	1.02739726027398	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	1	China	CH	CH		35	105	CH	20251009070000	https://thearabianpost.com/u-s-clears-path-for-nvidia-uae-ai-chip-exports/
1267606456	20251009	202510	2025	2025.7644											ARE	ABU DHABI	ARE								1	042	042	04	1	1.9	4	1	4	1.02739726027398	0								1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20251009070000	https://thearabianpost.com/u-s-clears-path-for-nvidia-uae-ai-chip-exports/
1267606457	20251009	202510	2025	2025.7644											AUS	AUSTRALIA	AUS								1	010	010	01	1	0.0	4	1	4	5.66666666666666	0								4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20251009070000	https://www.thehindubusinessline.com/news/national/defence-minister-rajnath-singh-holds-talks-with-australian-counterpart/article70142456.ece
1267606458	20251009	202510	2025	2025.7644											AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	2	1	2	5.29891304347826	0								4	Nobbys Beach, New South Wales, Australia	AS	AS02	5096	-32.9235	151.793	11423099	4	Nobbys Beach, New South Wales, Australia	AS	AS02	5096	-32.9235	151.793	11423099	20251009070000	https://www.macleayargus.com.au/story/9085192/newcastle-pride-2025-a-celebration-of-diversity-and-truth/
1267606459	20251009	202510	2025	2025.7644											AUS	AUSTRALIA	AUS								0	043	043	04	1	2.8	2	1	2	0.94899169632266	0								4	Destrees Bay, South Australia, Australia	AS	AS05	5277	-35.9166	137.65	11395331	4	Kingscote, South Australia, Australia	AS	AS05	5277	-35.6559	137.639	-1581790	20251009070000	https://www.abc.net.au/news/2025-10-09/kangaroo-island-shark-attack-witness-extraordinary-moment/105873108
1267606460	20251009	202510	2025	2025.7644											AUS	AUSTRALIA	AUS								0	043	043	04	1	2.8	2	1	2	0.94899169632266	0								4	Destrees Bay, South Australia, Australia	AS	AS05	5277	-35.9166	137.65	11395331	4	Destrees Bay, South Australia, Australia	AS	AS05	5277	-35.9166	137.65	11395331	20251009070000	https://www.abc.net.au/news/2025-10-09/kangaroo-island-shark-attack-witness-extraordinary-moment/105873108
1267606461	20251009	202510	2025	2025.7644											AUS	VICTORIA	AUS								1	060	060	06	2	6.0	6	1	6	-2.10970464135021	0								2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20251009070000	https://www.manchestereveningnews.co.uk/news/tv/victoria-beckham-eating-disorder-netflix-32633740
1267606462	20251009	202510	2025	2025.7644											AUS	AUSTRALIAN	AUS								1	190	190	19	4	-10.0	7	1	7	-6.14035087719298	0								4	White Island, Northern Territory, Australia	AS	AS03	154722	-15.6111	136.717	-1609309	4	White Island, Northern Territory, Australia	AS	AS03	154722	-15.6111	136.717	-1609309	20251009070000	https://www.rnz.co.nz/news/national/575460/whakaari-eruption-survivor-recalls-extreme-pain-while-being-hit-by-steam-rocks
1267606463	20251009	202510	2025	2025.7644											AUSAGR	AUSTRALIA	AUS					AGR			1	042	042	04	1	1.9	2	1	2	5.29891304347826	0								4	Nobbys Beach, New South Wales, Australia	AS	AS02	5096	-32.9235	151.793	11423099	4	Nobbys Beach, New South Wales, Australia	AS	AS02	5096	-32.9235	151.793	11423099	20251009070000	https://www.macleayargus.com.au/story/9085192/newcastle-pride-2025-a-celebration-of-diversity-and-truth/
1267606464	20251009	202510	2025	2025.7644											AUSJUD	AUSTRALIA	AUS					JUD			0	042	042	04	1	1.9	6	1	6	-9.5380029806259	0								4	Redcliffe, Queensland, Australia	AS	AS04	154682	-27.2333	153.117	-1597026	4	Redcliffe, Queensland, Australia	AS	AS04	154682	-27.2333	153.117	-1597026	20251009070000	https://www.abc.net.au/news/2025-10-09/man-accused-of-making-death-threats-anthony-albanese-court/105870888
1267606465	20251009	202510	2025	2025.7644											BRB	BARBADOS	BRB								1	042	042	04	1	1.9	6	1	6	-2.6252983293556	0								4	Montego Bay, Saint James, Jamaica	JM	JM12	18429	18.4712	-77.9188	-3752832	4	Montego Bay, Saint James, Jamaica	JM	JM12	18429	18.4712	-77.9188	-3752832	20251009070000	https://jamaica-gleaner.com/article/news/20251009/cherry-ann-boyce-breast-cancer-survival-story-inspires-other-women
1267606466	20251009	202510	2025	2025.7644											BUS	BUSINESS						BUS			1	042	042	04	1	1.9	8	1	8	1.50093808630393	0								4	Haryana, Haryana, India	IN	IN10	17660	29.6161	76.9806	6210381	4	Haryana, Haryana, India	IN	IN10	17660	29.6161	76.9806	6210381	20251009070000	https://www.thehindubusinessline.com/economy/separate-gst-registration-required-for-importers-storing-goods-in-warehouses-located-in-other-states/article70142262.ece
1267606467	20251009	202510	2025	2025.7644											CHN	CHINA	CHN								0	043	043	04	1	2.8	1	1	1	-6.60569105691057	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	1	Bulgaria	BU	BU		43	25	BU	20251009070000	https://www.witneygazette.co.uk/news/25528958.starmer-seeks-blame-tories-china-spy-case-collapse/
1267606468	20251009	202510	2025	2025.7644											CHN	CHINA	CHN								0	043	043	04	1	2.8	2	1	2	-5.68383658969804	0								4	Wang Xing, Jiangxi, China	CH	CH03	13164	28.7786	115.282	11087952	4	Pattaya, Chon Buri, Thailand	TH	TH46	26532	12.9333	100.883	-3242432	20251009070000	https://www.chiangraitimes.com/crime/woman-freed-from-chinese-kidnappers/
1267606469	20251009	202510	2025	2025.7644											CHN	CHINA	CHN								0	043	043	04	1	2.8	8	1	8	-5.68383658969804	0								4	Wang Xing, Jiangxi, China	CH	CH03	13164	28.7786	115.282	11087952	4	Wang Xing, Jiangxi, China	CH	CH03	13164	28.7786	115.282	11087952	20251009070000	https://www.chiangraitimes.com/crime/woman-freed-from-chinese-kidnappers/
1267606470	20251009	202510	2025	2025.7644											CHN	CHINESE	CHN								0	181	181	18	4	-9.0	1	1	1	-5.68383658969804	0								4	Chonburi, Chon Buri, Thailand	TH	TH46	26535	13.3622	100.983	-3247244	4	Chonburi, Chon Buri, Thailand	TH	TH46	26535	13.3622	100.983	-3247244	20251009070000	https://www.chiangraitimes.com/crime/woman-freed-from-chinese-kidnappers/
1267606471	20251009	202510	2025	2025.7644											CHN	CHINESE	CHN								0	181	181	18	4	-9.0	1	1	1	-5.68383658969804	0								4	Wang Xing, Jiangxi, China	CH	CH03	13164	28.7786	115.282	11087952	4	Pattaya, Chon Buri, Thailand	TH	TH46	26532	12.9333	100.883	-3242432	20251009070000	https://www.chiangraitimes.com/crime/woman-freed-from-chinese-kidnappers/
1267606472	20251009	202510	2025	2025.7644											CHNBUS	CHINESE	CHN					BUS			0	130	130	13	3	-4.4	6	1	6	-2.63157894736842	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20251009070000	https://www.dw.com/en/german-chancellor-calls-auto-summit-as-carmakers-bleed-jobs/a-74247276
1267606473	20251009	202510	2025	2025.7644											COP	POLICE						COP			0	042	042	04	1	1.9	6	1	6	-6.14035087719298	0								4	White Island, Northern Territory, Australia	AS	AS03	154722	-15.6111	136.717	-1609309	4	White Island, Northern Territory, Australia	AS	AS03	154722	-15.6111	136.717	-1609309	20251009070000	https://www.rnz.co.nz/news/national/575460/whakaari-eruption-survivor-recalls-extreme-pain-while-being-hit-by-steam-rocks
1267606474	20251009	202510	2025	2025.7644											COP	POLICE						COP			0	112	112	11	3	-2.0	4	1	4	-2.5328330206379	0								4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	4	Heaton Park, Manchester, United Kingdom	UK	UKI2	40118	53.5333	-2.26667	-2598411	20251009070000	https://www.manchestereveningnews.co.uk/news/greater-manchester-news/my-first-wife-accepts-and-32631061
1267606475	20251009	202510	2025	2025.7644											COP	POLICE						COP			0	112	112	11	3	-2.0	6	1	6	-2.5328330206379	0								4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	20251009070000	https://www.manchestereveningnews.co.uk/news/greater-manchester-news/my-first-wife-accepts-and-32631061
1267606476	20251009	202510	2025	2025.7644											COP	PRISON						COP			0	173	173	17	4	-5.0	6	1	6	-10.2649006622516	0								3	Happy Valley, Oregon, United States	US	USOR		45.4468	-122.53	1136354	3	Happy Valley, Oregon, United States	US	USOR		45.4468	-122.53	1136354	20251009070000	https://www.kptv.com/2025/10/09/molalla-man-sentenced-nearly-10-years-prison-after-being-convicted-3-separate-cases/
1267606477	20251009	202510	2025	2025.7644											COP	POLICE						COP			0	1821	182	18	4	-9.0	8	1	8	-2.5328330206379	0								4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	4	Heaton Park, Manchester, United Kingdom	UK	UKI2	40118	53.5333	-2.26667	-2598411	20251009070000	https://www.manchestereveningnews.co.uk/news/greater-manchester-news/my-first-wife-accepts-and-32631061
