1264235432	20150923	201509	2015	2015.7205	MOS	ISLAMIC				MOS					CVL	CIVILIAN						CVL			0	112	112	11	3	-2.0	10	1	10	-9.6774193548387	1	Congo	CF	CF		-1	15	CF	1	Congo	CF	CF		-1	15	CF	1	Congo	CF	CF		-1	15	CF	20250920133000	https://chimpreports.com/7-civilians-killed-in-latest-adf-attacks-on-congos-beni-villages/
1264235433	20150923	201509	2015	2015.7205	REB	INSURGENCY						REB			CVL	CIVILIAN						CVL			0	190	190	19	4	-10.0	10	1	10	-2.10091269157913	4	Kharan, North-West Frontier, Pakistan	PK	PK03	40350	35.0554	72.5529	9177151	4	Kharan, North-West Frontier, Pakistan	PK	PK03	40350	35.0554	72.5529	9177151	4	Kharan, North-West Frontier, Pakistan	PK	PK03	40350	35.0554	72.5529	9177151	20250920133000	https://indianexpress.com/article/upsc-current-affairs/upsc-key-fiscal-health-states-form-7-of-eci-iwt-silt-management-10261557/
1264235434	20240920	202409	2024	2024.7123	GOV	GOVERNMENT						GOV													0	071	071	07	2	7.4	10	1	10	0.0949667616334302	4	Port Weller, Ontario, Canada	CA	CA08	12668	43.2167	-79.2167	-571639	0								4	Port Weller, Ontario, Canada	CA	CA08	12668	43.2167	-79.2167	-571639	20250920133000	https://www.wellandtribune.ca/business/trade-war-silver-lining-could-bring-thousands-of-jobs-to-hamilton-shipyard/article_b4cd169e-f90a-5071-ac0f-6189c9b26447.html
1264235435	20240920	202409	2024	2024.7123	LEG	SENATE						LEG													1	020	020	02	1	3.0	10	1	10	-1.57367668097282	3	Western Addition, California, United States	US	USCA	CA075	37.7852	-122.447	1660151	0								3	Western Addition, California, United States	US	USCA		37.7852	-122.447	1660151	20250920133000	https://www.sfexaminer.com/news/the-city/survivor-of-sfs-redevelopment-era-has-stories-to-tell/article_65825239-fb76-47fa-a300-37a8c48ea910.html
1264235436	20240920	202409	2024	2024.7123	USAGOVEDU	THE US	USA					GOV	EDU												1	010	010	01	1	0.0	5	1	5	-0.871839581517	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20250920133000	https://www.theguardian.com/education/2025/sep/20/high-school-students-scores
1264235437	20250821	202508	2025	2025.6329											PSEREB	HAMAS	PSE					REB			0	042	042	04	1	1.9	4	1	4	-5.85585585585586	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20250920133000	https://www.aol.co.uk/news/starmer-rewarding-murderers-palestine-recognition-130549884.html
1264235438	20250821	202508	2025	2025.6329	PSEREB	HAMAS	PSE					REB													0	043	043	04	1	2.8	4	1	4	-5.85585585585586	1	United Kingdom	UK	UK		54	-4	UK	0								1	United Kingdom	UK	UK		54	-4	UK	20250920133000	https://www.aol.co.uk/news/starmer-rewarding-murderers-palestine-recognition-130549884.html
1264235439	20250913	202509	2025	2025.6932	GOV	PRESIDENT						GOV			IGOUNOLEG	UNITED NATIONS		UNO				IGO	LEG		0	036	036	03	1	4.0	6	1	6	-4.42571127502635	4	Dnipro, Ukraine (general), Ukraine	UP	UP00	28557	46.4975	32.3086	-2902197	4	Dnipropetrovsk, Dnipropetrovs'ka Oblast', Ukraine	UP	UP04	28546	48.463	35.039	-1037865	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250920133000	https://www.thv11.com/article/news/nation-world/russia-launches-a-large-scale-attack-on-ukraine-killing-3-and-wounding-dozens/507-0d374480-8f01-4dc0-870b-ea2360841f1f
1264235440	20250913	202509	2025	2025.6932	GOV	FOREIGN AFFAIRS MINIST						GOV			USA	UNITED STATES	USA								1	010	010	01	1	0.0	2	1	2	0.40858018386108	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20250920133000	https://www.wellandtribune.ca/news/canada/carney-to-attend-united-nations-general-assembly-at-pivotal-time-for-the-institution/article_15c44fd3-602e-5a68-942b-f0e30dd210ae.html
1264235441	20250913	202509	2025	2025.6932	KOR	SOUTH KOREA	KOR								MNCKOR	HYUNDAI	KOR					MNC			1	190	190	19	4	-10.0	2	1	2	-3.61990950226245	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20250920133000	http://www.hngn.com/articles/268185/20250920/south-korea-urges-us-fix-visa-system-after-300-workers-detained-georgia-raid.htm
1264235442	20250913	202509	2025	2025.6932	KOR	SOUTH KOREA	KOR								USA	UNITED STATES	USA								1	100	100	10	3	-5.0	10	1	10	-3.61990950226245	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20250920133000	http://www.hngn.com/articles/268185/20250920/south-korea-urges-us-fix-visa-system-after-300-workers-detained-georgia-raid.htm
