1266317875	20250924	202509	2025	2025.7233											JUDJUD	SUPERIOR COURT						JUD	JUD		0	020	020	02	1	3.0	3	1	3	-5.34351145038167	0								3	Windham County, Vermont, United States	US	USVT		42.9834	-72.7329	1461769	3	Windham County, Vermont, United States	US	USVT		42.9834	-72.7329	1461769	20251001234500	https://www.reformer.com/local-news/brattleboro-man-sentenced-to-four-to-six-years-for-drug-sales/article_be36a3c6-64ca-4954-8083-55d1395af9bf.html
1266317876	20250924	202509	2025	2025.7233											KOR	SOUTH KOREA	KOR								1	036	036	03	1	4.0	2	1	2	0	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Gyeongju, Kyongsang-bukto, South Korea	KS	KS14	24982	35.8428	129.212	-710797	20251001234500	https://www.aol.com/articles/trump-says-chinas-xi-using-215131558.html
1266317877	20250924	202509	2025	2025.7233											KOR	SOUTH KOREA	KOR								1	040	040	04	1	1.0	2	1	2	0	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Gyeongju, Kyongsang-bukto, South Korea	KS	KS14	24982	35.8428	129.212	-710797	20251001234500	https://www.aol.com/articles/trump-says-chinas-xi-using-215131558.html
1266317878	20250924	202509	2025	2025.7233	BUS	INVESTOR						BUS			AFR	AFRICA	AFR								0	020	020	02	1	3.0	2	1	2	-2.3370233702337	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20251001234500	https://www.theglobeandmail.com/business/article-expiry-of-us-africa-trade-deal-expected-to-cost-thousands-of-jobs/
1266317879	20250924	202509	2025	2025.7233	BUS	INVESTOR						BUS			AFR	AFRICA	AFR								0	020	020	02	1	3.0	2	1	2	-2.3370233702337	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20251001234500	https://www.theglobeandmail.com/business/article-expiry-of-us-africa-trade-deal-expected-to-cost-thousands-of-jobs/
1266317880	20250924	202509	2025	2025.7233	BUS	INVESTOR						BUS			AFRGOV	AFRICA	AFR					GOV			0	020	020	02	1	3.0	2	1	2	-2.3370233702337	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20251001234500	https://www.theglobeandmail.com/business/article-expiry-of-us-africa-trade-deal-expected-to-cost-thousands-of-jobs/
1266317881	20250924	202509	2025	2025.7233	BUS	INVESTOR						BUS			AFRGOV	AFRICA	AFR					GOV			0	020	020	02	1	3.0	2	1	2	-2.3370233702337	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20251001234500	https://www.theglobeandmail.com/business/article-expiry-of-us-africa-trade-deal-expected-to-cost-thousands-of-jobs/
1266317882	20250924	202509	2025	2025.7233	BUS	INVESTOR						BUS			ZAFGOV	SOUTH AFRICAN	ZAF					GOV			0	020	020	02	1	3.0	1	1	1	-2.3370233702337	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20251001234500	https://www.theglobeandmail.com/business/article-expiry-of-us-africa-trade-deal-expected-to-cost-thousands-of-jobs/
1266317883	20250924	202509	2025	2025.7233	BUS	INVESTOR						BUS			ZAFGOV	SOUTH AFRICAN	ZAF					GOV			0	020	020	02	1	3.0	1	1	1	-2.3370233702337	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20251001234500	https://www.theglobeandmail.com/business/article-expiry-of-us-africa-trade-deal-expected-to-cost-thousands-of-jobs/
1266317884	20250924	202509	2025	2025.7233	GOV	PRESIDENT						GOV													0	043	043	04	1	2.8	10	1	10	-2.65017667844523	2	West Virginia, United States	US	USWV		38.468	-80.9696	WV	0								2	West Virginia, United States	US	USWV		38.468	-80.9696	WV	20251001234500	https://www.wvowradio.com/post/u-s-government-shuts-down-as-parties-clash-over-substantial-cuts-to-healthcare
