1268033174	20251011	202510	2025	2025.7699											AFG	AFGHANISTAN	AFG								0	063	063	06	2	7.4	5	1	5	-18.8349514563106	0								1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20251011103000	https://irannewsupdate.com/news/human-rights/irans-human-rights-crisis-deepens-after-12-day-war-over-200-executions-and-mass-arrests-in-september/
1268033175	20251011	202510	2025	2025.7699											BHS	BAHAMA	BHS								0	042	042	04	1	1.9	48	6	48	1.24508594551596	0								1	Bahamas, The	BF	BF		24	-76	BF	1	Spain	SP	SP		40	-4	SP	20251011103000	https://www.npr.org/2025/10/11/nx-s1-5570093/columbus-day-trump-proclamation
1268033176	20251011	202510	2025	2025.7699											BHS	BAHAMA	BHS								0	042	042	04	1	1.9	12	6	12	1.24508594551596	0								1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	20251011103000	https://www.npr.org/2025/10/11/nx-s1-5570093/columbus-day-trump-proclamation
1268033177	20251011	202510	2025	2025.7699											BUS	COMPANY						BUS			1	031	031	03	1	5.2	10	1	10	-0.17714791851196	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20251011103000	https://www.macrobusiness.com.au/2025/10/chatbot-consultancy-vampires-bleed-aussie-taxpayers-dry/
1268033178	20251011	202510	2025	2025.7699											BUS	BUSINESS						BUS			0	040	040	04	1	1.0	5	1	5	-0.17714791851196	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20251011103000	https://www.macrobusiness.com.au/2025/10/chatbot-consultancy-vampires-bleed-aussie-taxpayers-dry/
1268033179	20251011	202510	2025	2025.7699											CAN	CANADA	CAN								1	036	036	03	1	4.0	10	1	10	-0.58997050147492	0								1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20251011103000	https://thelinkpaper.ca/conservatives-propose-citizenship-for-newborns-only-if-one-parent-is-a-citizen-or-permanent-resident/
1268033180	20251011	202510	2025	2025.7699											CANGOV	CANADIAN	CAN					GOV			1	036	036	03	1	4.0	3	1	3	4.59770114942529	0								1	Canada	CA	CA		60	-96	CA	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20251011103000	https://www.cnbctv18.com/world/canadian-foreign-minister-anita-anand-to-visit-india-know-key-agenda-19712226.htm
1268033181	20251011	202510	2025	2025.7699											CHN	CHINA	CHN								1	020	020	02	1	3.0	4	1	4	-1.22448979591837	0								1	Argentina	AR	AR		-34	-64	AR	1	Argentina	AR	AR		-34	-64	AR	20251011103000	https://www.nujournal.com/opinion/letters/2025/10/11/crops-coming-in-but-nowhere-to-go/
1268033182	20251011	202510	2025	2025.7699											COP	POLICE						COP			1	043	043	04	1	2.8	2	1	2	-0.88757396449704	0								3	New Ulm Police Department, Minnesota, United States	US	USMN		44.3108	-94.4117	2063640	3	New Ulm Police Department, Minnesota, United States	US	USMN		44.3108	-94.4117	2063640	20251011103000	https://www.nujournal.com/opinion/editorials/2025/10/11/thumbs-up-down-298/
1268033183	20251011	202510	2025	2025.7699											COP	POLICE CONSTABLE						COP			1	112	112	11	3	-2.0	10	1	10	-5.42986425339367	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20251011103000	https://www.lbc.co.uk/article/met-officer-police-tanning-leave-5HjdFFW_2/
1268033184	20251011	202510	2025	2025.7699											CVL	TRAVELLER						CVL			1	036	036	03	1	4.0	5	1	5	4.06320541760722	0								4	One Tree, Rift Valley, Kenya	KE	KE08	18585	-0.216667	36.8667	-2260928	4	One Tree, Rift Valley, Kenya	KE	KE08	18585	-0.216667	36.8667	-2260928	20251011103000	https://www.capitalfm.co.ke/news/2025/10/govt-urges-hotels-to-designate-tree-planting-spaces-to-boost-sustainable-tourism/
1268033185	20251011	202510	2025	2025.7699											CVL	SCIENTIST						CVL			0	040	040	04	1	1.0	10	1	10	-3.07692307692308	0								3	Pacific Palisades, California, United States	US	USCA		34.0481	-118.526	1661169	3	Pacific Palisades, California, United States	US	USCA		34.0481	-118.526	1661169	20251011103000	https://www.latimes.com/california/story/2025-10-11/report-reveals-delays-in-water-tenders-to-palisades-fire
1268033186	20251011	202510	2025	2025.7699											CVL	VOTER						CVL			0	190	190	19	4	-10.0	3	1	3	-4.82076637824474	0								2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20251011103000	https://www.theoaklandpress.com/2025/10/11/deperno-fights-release-of-text-messages-in-2020-michigan-election-tabulator-case/
1268033187	20251011	202510	2025	2025.7699											DEU	GERMANY	DEU								0	080	080	08	2	5.0	4	1	4	-2.7741935483871	0								3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	20251011103000	https://www.fairobserver.com/culture/fourty-years-after-the-oregon-cult-commune-the-girl-from-the-osho-ranch/
1268033188	20251011	202510	2025	2025.7699											DEU	GERMANY	DEU								0	173	173	17	4	-5.0	3	1	3	-2.7741935483871	0								4	Munich, Bayern, Germany	GM	GM02	16532	48.15	11.5833	-1829149	4	Munich, Bayern, Germany	GM	GM02	16532	48.15	11.5833	-1829149	20251011103000	https://www.fairobserver.com/culture/fourty-years-after-the-oregon-cult-commune-the-girl-from-the-osho-ranch/
1268033189	20251011	202510	2025	2025.7699											DEU	GERMANY	DEU								0	174	174	17	4	-5.0	3	1	3	-2.7741935483871	0								4	Munich, Bayern, Germany	GM	GM02	16532	48.15	11.5833	-1829149	4	Munich, Bayern, Germany	GM	GM02	16532	48.15	11.5833	-1829149	20251011103000	https://www.fairobserver.com/culture/fourty-years-after-the-oregon-cult-commune-the-girl-from-the-osho-ranch/
1268033190	20251011	202510	2025	2025.7699											EDU	STUDENT						EDU			1	020	020	02	1	3.0	6	1	6	1.71673819742489	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20251011103000	https://scroll.in/article/1087277/the-miranda-chronicles-a-profoundly-human-history-of-one-of-indias-most-prestigious-colleges
1268033191	20251011	202510	2025	2025.7699											EDU	STUDENT						EDU			1	020	020	02	1	3.0	4	1	4	1.71673819742489	0								4	Indraprastha, Haryana, India	IN	IN10	70265	28.4833	77.3	-2097812	4	Indraprastha, Haryana, India	IN	IN10	70265	28.4833	77.3	-2097812	20251011103000	https://scroll.in/article/1087277/the-miranda-chronicles-a-profoundly-human-history-of-one-of-indias-most-prestigious-colleges
1268033192	20251011	202510	2025	2025.7699											EDU	COLLEGE						EDU			1	190	190	19	4	-10.0	3	1	3	0	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251011103000	https://www.newyorker.com/culture/the-weekend-essay/the-making-of-adaptation
1268033193	20251011	202510	2025	2025.7699											EGY	SINAI	EGY								0	042	042	04	1	1.9	3	1	3	-2.27870289219982	0								4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	20251011103000	https://www.ynetnews.com/magazine/article/skvzucvaxe
1268033194	20251011	202510	2025	2025.7699											ELI	ACTOR						ELI			1	043	043	04	1	2.8	4	1	4	6.96378830083565	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20251011103000	https://ianslive.in/rishab-shetty-is-grateful-for-suniel-shettys-love-and-support-for-kantara-chapter-1--20251011141009
1268033195	20251011	202510	2025	2025.7699											FRA	FRANCE	FRA								0	040	040	04	1	1.0	5	1	5	0.28089887640449	0								4	Bois De Boulogne, France (general), France	FR	FR00	16280	48.8627	2.24882	-1413269	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20251011103000	https://www.timeslive.co.za/politics/2025-10-11-we-trust-the-french-authorities-and-saps-nathi-mthethwas-son-on-probe-into-his-death/
1268033196	20251011	202510	2025	2025.7699											FRA	FRANCE	FRA								0	042	042	04	1	1.9	1	1	1	0.28089887640449	0								4	Bois De Boulogne, France (general), France	FR	FR00	16280	48.8627	2.24882	-1413269	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20251011103000	https://www.timeslive.co.za/politics/2025-10-11-we-trust-the-french-authorities-and-saps-nathi-mthethwas-son-on-probe-into-his-death/
1268033197	20251011	202510	2025	2025.7699											GBR	UNITED KINGDOM	GBR								1	100	100	10	3	-5.0	4	1	4	-7.18085106382979	0								4	Bass Rock, East Lothian, United Kingdom	UK	UKU6	40170	56.0833	-2.63333	-2589411	4	Bass Rock, East Lothian, United Kingdom	UK	UKU6	40170	56.0833	-2.63333	-2589411	20251011103000	https://www.eastlothiancourier.com/news/25524038.bird-flu-warning-suspected-cases-found-east-lothian/
1268033198	20251011	202510	2025	2025.7699											GOV	MAYOR						GOV			1	012	012	01	1	-0.4	3	1	3	-3.84615384615384	0								2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20251011103000	https://english.mathrubhumi.com/news/world/national-guard-deployments-by-trump-memphis-patrols-court-blocks-and-controversy-explainer-v9mzo2tr
1268033199	20251011	202510	2025	2025.7699											GOV	MAYOR						GOV			1	013	013	01	1	0.4	3	1	3	-3.84615384615384	0								2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20251011103000	https://english.mathrubhumi.com/news/world/national-guard-deployments-by-trump-memphis-patrols-court-blocks-and-controversy-explainer-v9mzo2tr
