days_since_start,avg_tone,total_events,period
70,-5.6521,1180,2015 Blockade
71,-4.6189,885,2015 Blockade
72,-2.3202,738,2015 Blockade
73,-2.0956,535,2015 Blockade
74,-2.7098,639,2015 Blockade
75,-2.8289,412,2015 Blockade
76,-3.4147,612,2015 Blockade
77,-2.8703,501,2015 Blockade
78,-1.7769,422,2015 Blockade
79,-1.7515,400,2015 Blockade
80,-1.6694,296,2015 Blockade
81,-1.3943,290,2015 Blockade
82,-1.8456,255,2015 Blockade
83,-2.5372,287,2015 Blockade
